date,open,high,low,close,volume
2022-01-03,143.55,143.77,142.69,143.19,61112144
2022-01-04,142.8,143.58,141.39,142.75,104499702
2022-01-05,144.29,145.0,143.74,144.34,38536174
2022-01-06,149.31,150.33,146.9,148.26,38800954
2022-01-07,146.86,149.45,145.94,147.55,61746535
2022-01-10,146.48,149.02,145.04,146.84,45034855
2022-01-11,150.99,151.54,150.34,150.98,98129611
2022-01-12,153.27,154.49,151.72,152.99,57323069
2022-01-13,150.67,152.58,150.42,151.61,32923718
2022-01-14,153.63,153.93,151.79,153.01,24960546
2022-01-17,151.96,152.54,150.83,151.64,48459459
2022-01-18,150.06,151.03,149.11,150.29,48248934
2022-01-19,151.67,152.16,148.96,150.85,56686119
2022-01-20,145.77,147.35,144.47,145.66,81149995
2022-01-21,141.72,141.92,140.17,141.12,76989444
2022-01-24,139.54,139.94,139.12,139.62,39664738
2022-01-25,136.7,137.43,136.53,137.01,29799608
2022-01-26,137.89,138.13,137.27,137.71,30519766
2022-01-27,135.95,137.15,133.78,135.39,37236978
2022-01-28,132.06,132.3,131.44,131.92,43177968
2022-01-31,135.63,135.72,135.05,135.36,56489109
2022-02-01,135.2,135.56,134.27,134.73,36293402
2022-02-02,134.88,136.04,133.23,134.81,55934412
2022-02-03,132.62,133.34,129.99,131.32,57791347
2022-02-04,130.53,131.45,128.89,129.96,52950661
2022-02-07,129.94,131.07,129.1,130.14,31835238
2022-02-08,127.77,128.04,126.61,127.4,60289242
2022-02-09,128.07,128.46,127.92,128.19,114953863
2022-02-10,126.96,128.11,124.62,126.73,55167926
2022-02-11,126.63,127.03,125.01,125.99,15345050
2022-02-14,124.99,125.8,123.25,124.56,82135870
2022-02-15,129.02,130.0,127.14,128.71,37747675
2022-02-16,128.81,129.62,126.92,128.6,123755529
2022-02-17,126.11,126.9,125.4,126.1,52382281
2022-02-18,128.37,129.01,125.86,127.9,25486342
2022-02-21,124.45,126.91,123.57,125.05,21892497
2022-02-22,124.63,126.34,124.2,125.44,92565759
2022-02-23,120.59,122.3,119.75,121.02,77818951
2022-02-24,118.11,118.54,117.64,118.09,121806115
2022-02-25,118.58,119.63,117.5,118.44,50218967
2022-02-28,120.19,120.41,119.53,119.95,48882089
2022-03-01,120.05,121.17,119.22,120.25,42902731
2022-03-02,119.98,121.97,118.08,119.93,38424946
2022-03-03,118.1,119.89,117.87,119.21,42736407
2022-03-04,115.89,116.58,115.37,116.01,54544033
2022-03-07,114.55,115.17,113.55,114.45,35675446
2022-03-08,113.25,114.0,113.15,113.43,25643939
2022-03-09,115.54,116.96,114.86,115.54,53301989
2022-03-10,116.04,116.53,115.86,116.19,35358710
2022-03-11,112.23,112.83,112.14,112.49,13684282
2022-03-14,113.14,114.11,112.24,113.08,62367852
2022-03-15,111.89,113.18,111.47,112.24,32098181
2022-03-16,111.54,112.16,110.14,110.81,65153028
2022-03-17,112.2,112.4,111.51,111.97,64532066
2022-03-18,113.96,114.8,112.99,114.0,56006010
2022-03-21,116.45,116.67,114.74,115.86,135741201
2022-03-22,113.78,115.03,112.72,114.05,47313812
2022-03-23,113.18,114.15,112.17,113.35,44601486
2022-03-24,114.73,114.88,113.48,113.96,65725828
2022-03-25,115.55,116.81,115.04,115.91,48903259
2022-03-28,115.75,116.06,113.97,114.96,79536848
2022-03-29,113.81,115.51,113.55,114.62,30099261
2022-03-30,112.42,113.63,111.4,112.41,30300167
2022-03-31,109.77,110.78,109.58,110.06,67921104
2022-04-01,111.85,112.19,111.1,111.72,31377737
2022-04-04,114.47,115.12,113.55,114.53,63794210
2022-04-05,114.94,115.87,113.09,114.43,57975710
2022-04-06,116.39,117.59,115.58,116.56,37872592
2022-04-07,117.14,118.7,116.13,117.37,57910057
2022-04-08,115.57,116.84,115.36,116.06,30514013
2022-04-11,116.7,117.43,116.25,116.86,33517343
2022-04-12,120.72,121.01,119.14,120.19,45474326
2022-04-13,119.73,121.39,118.61,120.16,51603739
2022-04-14,124.12,124.44,123.07,123.64,44281526
2022-04-15,118.66,119.17,116.93,118.0,59457953
2022-04-18,119.91,121.85,118.62,119.8,58405471
2022-04-19,120.17,120.44,119.74,120.04,92182446
2022-04-20,119.25,120.08,119.07,119.44,48130153
2022-04-21,119.08,120.36,118.8,119.69,80628193
2022-04-22,114.37,116.8,113.98,115.53,72263070
2022-04-25,115.21,115.5,114.83,115.12,125162628
2022-04-26,115.86,116.29,115.52,115.91,47518532
2022-04-27,119.05,119.31,118.75,119.08,42261627
2022-04-28,118.05,118.39,117.69,118.02,82690166
2022-04-29,116.3,116.58,116.12,116.36,58334637
2022-05-02,115.66,116.21,114.68,115.36,83486646
2022-05-03,118.06,118.61,116.72,117.32,66602527
2022-05-04,117.57,118.82,117.41,118.07,21527219
2022-05-05,116.44,117.59,116.03,116.99,58122433
2022-05-06,118.36,118.68,117.71,118.13,56628328
2022-05-09,118.38,119.17,117.84,118.38,52734282
2022-05-10,120.65,121.08,119.93,120.51,47423874
2022-05-11,118.84,119.99,118.14,119.05,26447604
2022-05-12,118.33,118.64,118.11,118.39,70930021
2022-05-13,116.94,118.16,116.59,117.61,58063101
2022-05-16,114.53,115.45,114.12,114.6,77696148
2022-05-17,115.36,116.5,113.76,115.25,27018472
2022-05-18,115.7,117.32,114.4,115.84,61244668
2022-05-19,116.24,116.73,114.96,115.9,45520340
2022-05-20,115.62,115.88,114.69,115.46,52960068
2022-05-23,112.64,113.88,111.23,112.6,45730211
2022-05-24,111.85,112.02,111.43,111.79,62144739
2022-05-25,111.02,111.55,110.74,111.15,46846380
2022-05-26,109.62,110.54,108.92,109.6,32827186
2022-05-27,109.5,109.74,109.0,109.33,51758733
2022-05-30,110.1,111.62,109.05,110.17,45894862
2022-05-31,114.09,114.89,113.03,114.02,48359638
2022-06-01,114.06,114.79,113.81,114.42,13969807
2022-06-02,115.1,115.67,114.33,115.0,65698588
2022-06-03,115.7,116.42,113.01,114.89,44086673
2022-06-06,111.41,111.89,109.56,111.04,29158940
2022-06-07,111.33,111.88,110.16,111.03,72316217
2022-06-08,111.84,112.53,110.26,111.19,64493812
2022-06-09,116.14,117.59,114.4,116.28,43864043
2022-06-10,115.78,116.77,114.48,115.93,31536804
2022-06-13,116.32,116.9,116.17,116.6,53690458
2022-06-14,116.7,117.6,115.96,116.58,52523749
2022-06-15,114.23,115.61,113.05,114.2,72367457
2022-06-16,117.05,117.17,116.23,116.62,41868292
2022-06-17,118.07,119.03,117.29,118.25,80639762
2022-06-20,120.2,120.74,119.57,120.12,40282688
2022-06-21,118.35,118.73,117.92,118.33,29186033
2022-06-22,121.6,122.19,120.7,121.53,31788668
2022-06-23,118.84,119.11,118.22,118.67,48767221
2022-06-24,119.31,121.26,118.55,120.09,48706729
2022-06-27,125.2,126.49,123.79,125.1,57006623
2022-06-28,123.88,124.49,121.93,123.06,48224799
2022-06-29,121.61,122.82,120.53,121.98,73917559
2022-06-30,122.37,123.16,121.99,122.37,45041548
2022-07-01,121.66,122.56,120.18,121.44,22499936
2022-07-04,118.75,119.31,117.0,118.26,47635788
2022-07-05,118.13,119.26,117.93,118.57,22405613
2022-07-06,116.59,116.87,115.87,116.49,55733388
2022-07-07,117.95,118.42,116.49,117.65,76317342
2022-07-08,115.89,116.92,114.98,115.88,33701192
2022-07-11,120.18,120.54,117.36,119.33,88185775
2022-07-12,118.34,119.22,115.99,117.82,70046233
2022-07-13,117.8,118.3,116.52,117.31,81013440
2022-07-14,119.42,119.92,118.26,119.2,53938717
2022-07-15,115.82,118.09,115.18,116.75,33613135
2022-07-18,117.18,117.62,117.02,117.4,68330018
2022-07-19,120.75,122.25,119.41,120.36,38946255
2022-07-20,116.93,118.38,116.27,117.09,52414161
2022-07-21,117.41,118.25,116.77,117.65,46687786
2022-07-22,118.71,119.03,117.34,118.36,78406070
2022-07-25,120.46,120.79,119.41,120.21,66963909
2022-07-26,117.96,118.76,116.75,117.73,48414370
2022-07-27,115.39,115.53,114.88,115.12,22905570
2022-07-28,117.11,117.77,115.34,116.37,38781061
2022-07-29,117.02,117.39,116.73,117.16,66268317
2022-08-01,117.61,118.35,117.35,117.85,55928109
2022-08-02,118.68,119.71,117.6,118.76,27405239
2022-08-03,118.07,118.71,116.66,117.48,24273563
2022-08-04,118.11,118.95,117.42,118.14,54067143
2022-08-05,118.99,119.49,118.12,118.93,32759733
2022-08-08,117.41,117.79,117.33,117.57,34045723
2022-08-09,122.26,122.96,120.63,121.76,65435576
2022-08-10,123.22,123.43,122.57,122.97,80876113
2022-08-11,120.84,121.66,119.21,120.53,37030511
2022-08-12,123.7,124.07,121.12,122.14,49112760
2022-08-15,120.35,120.54,119.75,120.18,48536900
2022-08-16,122.71,123.12,120.8,122.07,46821446
2022-08-17,126.22,126.83,122.81,124.81,50818598
2022-08-18,123.38,123.59,122.78,123.15,67668621
2022-08-19,125.9,126.69,124.51,125.48,38185400
2022-08-22,125.76,127.76,125.52,126.6,27164527
2022-08-23,128.59,130.53,126.85,128.66,98300290
2022-08-24,133.69,134.52,132.66,133.32,77307561
2022-08-25,132.37,134.31,131.36,132.92,32154996
2022-08-26,131.14,132.25,130.53,131.31,52787573
2022-08-29,130.5,130.89,127.9,129.41,74911234
2022-08-30,128.52,128.98,126.53,127.7,67467134
2022-08-31,128.43,128.96,126.54,127.7,60149211
2022-09-01,128.7,130.5,127.38,128.67,46708784
2022-09-02,128.84,130.3,128.66,129.49,99777686
2022-09-05,131.14,131.94,130.98,131.62,54618166
2022-09-06,131.67,132.48,131.23,131.83,40692316
2022-09-07,134.75,136.47,134.54,135.52,70842088
2022-09-08,134.44,135.82,134.27,135.06,51958559
2022-09-09,143.54,144.06,140.98,142.04,57509036
2022-09-12,143.98,144.35,143.24,143.7,54232626
2022-09-13,140.84,142.87,139.75,141.56,60991422
2022-09-14,138.7,139.52,138.49,138.91,33806074
2022-09-15,139.82,141.29,138.29,140.18,27982531
2022-09-16,137.74,141.21,137.34,139.67,88736925
2022-09-19,142.4,142.67,140.89,141.54,55249364
2022-09-20,142.61,144.78,140.96,142.8,68058111
2022-09-21,142.59,142.96,142.32,142.67,24732528
2022-09-22,140.07,141.64,138.97,140.57,76607596
2022-09-23,136.59,137.59,136.41,136.85,40586225
2022-09-26,135.99,136.75,134.81,135.81,36217257
2022-09-27,138.02,138.23,137.58,137.97,48748466
2022-09-28,138.5,139.25,137.15,138.56,33812512
2022-09-29,134.43,136.54,133.87,135.54,49965378
2022-09-30,135.99,136.53,135.3,136.02,47346252
2022-10-03,137.14,137.57,136.61,137.02,76415179
2022-10-04,135.13,135.33,134.39,134.91,91593545
2022-10-05,135.38,136.35,134.72,135.34,90434815
2022-10-06,135.09,136.64,134.08,135.53,20210797
2022-10-07,132.92,133.4,132.21,132.83,34396550
2022-10-10,133.7,134.31,132.76,133.74,20127122
2022-10-11,135.03,135.42,134.67,135.15,31019191
2022-10-12,138.14,139.58,136.94,137.87,38560009
2022-10-13,140.41,140.9,139.93,140.56,58923951
2022-10-14,137.61,137.9,136.54,137.17,40611436
2022-10-17,134.86,135.32,134.45,134.93,41066593
2022-10-18,136.99,137.25,135.49,136.24,53770709
2022-10-19,137.15,138.49,135.79,137.56,25236696
2022-10-20,139.39,139.67,137.74,138.9,35751268
2022-10-21,149.38,149.64,148.53,148.93,40878340
2022-10-24,150.11,151.62,149.15,150.53,46111492
2022-10-25,154.76,155.55,151.77,153.7,51563012
2022-10-26,156.06,157.22,155.79,156.43,91129622
2022-10-27,160.01,160.58,157.02,158.34,71905838
2022-10-28,157.8,158.95,156.04,157.5,36755908
2022-10-31,159.45,160.57,159.26,159.73,45037315
2022-11-01,157.8,159.23,155.52,157.59,43826880
2022-11-02,157.98,158.34,155.39,156.98,40705450
2022-11-03,155.17,156.47,154.93,155.68,55758470
2022-11-04,156.08,156.54,155.54,155.97,23762558
2022-11-07,162.82,163.09,162.2,162.67,71115744
2022-11-08,158.2,158.91,156.07,157.36,98439615
2022-11-09,158.87,160.66,157.5,159.38,44884242
2022-11-10,154.43,156.66,153.64,154.88,44535081
2022-11-11,153.0,154.93,152.7,153.63,53241635
2022-11-14,156.95,158.4,155.06,156.73,75171892
2022-11-15,156.94,158.09,155.95,156.98,43917176
2022-11-16,154.49,154.75,152.94,154.02,72646199
2022-11-17,151.76,152.65,151.61,152.12,60789730
2022-11-18,154.5,155.69,152.31,154.05,128594955
2022-11-21,151.24,152.8,151.03,152.1,43840506
2022-11-22,151.9,154.63,151.06,152.75,22683160
2022-11-23,152.9,154.01,151.94,152.94,28186618
2022-11-24,151.2,151.67,150.78,151.22,50239134
2022-11-25,157.49,158.0,156.56,157.23,75427795
2022-11-28,160.14,160.65,157.65,159.1,38513905
2022-11-29,153.54,154.86,151.47,153.46,45588250
2022-11-30,154.47,154.61,153.59,154.04,65756603
2022-12-01,153.9,154.6,150.99,152.28,33985364
2022-12-02,154.82,155.57,153.83,154.69,39154495
2022-12-05,153.67,154.62,150.55,152.72,31341162
2022-12-06,152.79,153.51,151.64,152.61,80103074
2022-12-07,152.62,156.02,151.96,154.22,92637324
2022-12-08,157.62,158.72,155.13,156.87,26582603
2022-12-09,153.31,154.72,153.01,153.73,47235645
2022-12-12,153.27,153.73,152.64,153.02,87788156
2022-12-13,152.0,153.02,150.0,151.93,58644927
2022-12-14,149.08,152.7,148.42,150.36,41113120
2022-12-15,155.1,155.78,154.83,155.44,26938544
2022-12-16,157.74,158.18,155.58,156.79,79297041
2022-12-19,153.77,155.21,151.67,153.49,57756106
2022-12-20,155.41,157.97,154.33,156.26,27738697
2022-12-21,163.03,164.45,160.37,162.58,80477643
2022-12-22,166.42,168.12,164.1,165.86,26360365
2022-12-23,161.58,162.91,160.24,161.61,45779140
2022-12-26,161.23,161.43,159.74,160.43,44978163
2022-12-27,164.36,164.96,163.25,164.36,95523810
2022-12-28,162.31,164.6,160.77,162.51,45042411
2022-12-29,165.09,166.21,161.89,164.04,44977660
2022-12-30,167.14,167.5,165.62,166.58,28985382
2023-01-02,163.02,165.16,162.49,164.05,38700941
2023-01-03,163.41,165.13,162.81,164.11,36057137
2023-01-04,154.02,156.01,153.28,155.02,36816056
2023-01-05,152.52,153.18,151.28,152.4,50125848
2023-01-06,151.9,153.03,150.33,151.92,18884707
2023-01-09,149.06,149.57,148.31,148.76,27328521
2023-01-10,153.87,154.09,152.63,153.41,47828201
2023-01-11,149.77,150.03,149.08,149.72,52484866
2023-01-12,148.2,149.24,147.93,148.75,45542678
2023-01-13,148.99,149.97,148.39,149.31,49190730
2023-01-16,153.0,154.2,152.03,153.44,42452099
2023-01-17,149.63,150.07,149.33,149.74,49631274
2023-01-18,153.58,154.44,152.08,153.12,59482365
2023-01-19,154.02,154.39,152.4,153.36,59315846
2023-01-20,150.4,153.31,148.87,150.89,37956457
2023-01-23,152.12,154.03,149.87,152.36,72100494
2023-01-24,153.41,153.75,152.46,153.12,53243007
2023-01-25,151.81,153.07,150.84,151.69,81851660
2023-01-26,151.98,152.41,151.85,152.09,88692202
2023-01-27,151.08,152.19,150.06,151.25,28076482
2023-01-30,151.08,153.45,150.68,151.78,35460237
2023-01-31,154.09,154.3,152.89,153.81,69230548
2023-02-01,157.76,159.89,157.36,158.49,25689080
2023-02-02,155.01,155.99,154.21,155.21,88242948
2023-02-03,161.39,162.1,160.6,161.51,43574413
2023-02-06,157.05,157.35,154.61,156.16,62930832
2023-02-07,155.28,157.04,154.74,155.95,47725542
2023-02-08,156.7,158.72,156.23,157.83,28647529
2023-02-09,157.94,159.71,157.72,158.85,76267038
2023-02-10,156.7,159.6,155.86,157.3,150251749
2023-02-13,156.66,157.58,156.33,156.93,40691519
2023-02-14,155.77,156.55,154.6,155.76,43951184
2023-02-15,153.51,156.21,152.48,154.34,17329031
2023-02-16,156.16,157.86,155.94,156.93,85851938
2023-02-17,159.42,160.61,155.61,158.17,72004537
2023-02-20,156.11,158.3,154.69,156.42,24994841
2023-02-21,159.18,160.79,158.18,159.2,21890851
2023-02-22,159.38,161.92,158.05,160.31,22927349
2023-02-23,165.05,165.61,160.9,162.9,64721319
2023-02-24,163.98,166.35,163.24,164.99,67357858
2023-02-27,163.81,164.48,160.82,162.61,34559740
2023-02-28,161.61,162.25,159.94,161.04,61052064
2023-03-01,162.78,163.85,162.57,163.29,53280683
2023-03-02,165.53,165.65,164.58,165.16,43168675
2023-03-03,164.89,167.0,163.91,165.16,73707292
2023-03-06,165.19,166.19,164.97,165.58,30878148
2023-03-07,169.9,170.42,168.23,169.5,79125776
2023-03-08,167.89,168.25,167.17,167.77,37360514
2023-03-09,169.8,170.68,168.52,169.5,101965821
2023-03-10,167.52,170.57,166.63,168.95,33444943
2023-03-13,168.24,169.7,166.87,168.35,43440586
2023-03-14,172.13,172.42,171.36,171.79,51185580
2023-03-15,174.36,175.84,173.59,174.43,51057396
2023-03-16,177.24,179.85,175.85,177.07,60846506
2023-03-17,180.72,181.83,180.59,181.35,29896757
2023-03-20,180.17,183.3,179.18,181.5,49259293
2023-03-21,184.54,184.97,182.82,183.81,52840380
2023-03-22,182.78,184.15,181.65,182.86,40484845
2023-03-23,185.85,186.35,181.93,184.0,58770877
2023-03-24,183.36,184.55,182.52,183.65,29179751
2023-03-27,184.17,185.4,181.66,184.04,43879245
2023-03-28,185.7,188.64,184.27,186.1,36993763
2023-03-29,183.23,183.95,182.76,183.45,43932336
2023-03-30,189.29,191.82,188.43,190.57,89196088
2023-03-31,187.0,189.77,185.31,187.22,89891671
2023-04-03,183.28,183.78,182.71,183.25,83112041
2023-04-04,188.26,188.64,185.11,187.18,41559248
2023-04-05,190.53,192.01,187.98,189.95,71885193
2023-04-06,190.9,193.78,189.89,192.17,52298508
2023-04-07,192.95,196.44,192.4,194.43,50920158
2023-04-10,193.55,195.36,193.1,194.47,48476467
2023-04-11,191.86,194.22,188.97,191.43,101027236
2023-04-12,192.05,193.35,188.85,191.77,86345651
2023-04-13,190.47,190.99,187.48,189.52,67355298
2023-04-14,191.67,195.71,191.15,192.95,46707400
2023-04-17,192.75,194.57,190.79,192.52,50797508
2023-04-18,189.51,191.15,188.02,189.75,61821403
2023-04-19,189.26,190.23,187.64,188.74,40584224
2023-04-20,190.44,192.2,188.32,190.22,72773311
2023-04-21,189.03,190.03,187.19,188.37,34588628
2023-04-24,186.41,188.0,183.74,185.68,58484425
2023-04-25,185.52,188.21,184.87,186.57,20008091
2023-04-26,187.61,187.81,187.03,187.47,40116013
2023-04-27,185.46,186.38,185.23,185.84,114788793
2023-04-28,184.89,185.78,183.18,184.35,75678916
2023-05-01,184.42,186.51,182.82,185.19,92407707
2023-05-02,180.68,181.73,179.59,180.5,38286598
2023-05-03,177.45,178.21,173.96,176.06,52119134
2023-05-04,174.77,175.19,172.95,173.86,83497768
2023-05-05,174.11,175.07,171.18,173.27,64409489
2023-05-08,174.17,175.36,172.93,174.31,61279744
2023-05-09,179.6,180.41,177.79,179.07,95991130
2023-05-10,181.66,183.15,180.1,181.93,32978011
2023-05-11,182.49,183.26,179.47,181.48,46447739
2023-05-12,181.13,182.51,180.11,181.49,24788721
2023-05-15,178.69,178.79,177.96,178.32,32264920
2023-05-16,179.03,179.24,177.87,178.33,76837835
2023-05-17,177.68,177.91,177.16,177.47,34642570
2023-05-18,178.04,180.13,177.04,178.58,67103265
2023-05-19,175.54,176.95,175.17,176.01,97068510
2023-05-22,178.32,178.86,176.36,177.91,46564932
2023-05-23,181.99,184.44,181.25,183.15,61557295
2023-05-24,183.28,183.5,182.49,183.04,67312628
2023-05-25,184.43,185.53,183.35,184.63,30674294
2023-05-26,186.98,187.79,186.38,187.2,39073405
2023-05-29,186.74,187.21,184.52,186.11,33466954
2023-05-30,187.26,188.15,186.0,187.13,40339605
2023-05-31,187.21,189.11,184.77,187.43,66584198
2023-06-01,187.9,188.7,186.92,188.02,39407033
2023-06-02,185.84,188.19,184.29,185.69,49301855
2023-06-05,186.28,186.97,184.45,186.03,32951551
2023-06-06,187.06,190.68,185.49,187.97,81662252
2023-06-07,194.48,194.94,191.88,193.21,40204503
2023-06-08,197.88,198.71,194.2,196.85,91947266
2023-06-09,204.78,207.1,203.42,204.92,51233552
2023-06-12,202.6,203.51,200.64,202.39,28480600
2023-06-13,206.31,207.66,204.61,205.88,46693842
2023-06-14,206.43,208.26,205.36,206.85,32684869
2023-06-15,217.36,217.85,213.35,215.47,63292241
2023-06-16,212.16,213.09,212.03,212.65,45036708
2023-06-19,209.28,211.12,208.48,209.76,53373112
2023-06-20,208.05,209.72,206.26,207.8,43132715
2023-06-21,199.79,201.35,198.12,200.28,40040285
2023-06-22,199.09,200.52,197.19,198.67,33871508
2023-06-23,197.23,198.36,194.58,196.25,69861323
2023-06-26,197.6,200.14,193.82,197.06,46654144
2023-06-27,198.51,199.46,197.2,198.55,44086192
2023-06-28,204.89,207.21,204.51,205.66,46188804
2023-06-29,209.27,211.33,207.9,209.5,38110059
2023-06-30,206.84,209.54,205.76,207.63,44145122
2023-07-03,203.06,206.13,201.67,204.58,54286464
2023-07-04,206.87,207.89,205.65,206.69,33061458
