date,open,high,low,close,volume
2022-01-03,112.59,113.54,112.43,113.01,51819540
2022-01-04,116.72,117.25,114.86,116.0,74132271
2022-01-05,112.53,113.7,110.87,112.02,63922111
2022-01-06,112.71,113.34,112.28,112.61,43297150
2022-01-07,113.74,114.49,113.61,114.06,71547628
2022-01-10,113.18,113.39,112.8,113.01,51863486
2022-01-11,112.48,113.96,111.64,112.61,47921784
2022-01-12,112.39,113.58,111.31,112.67,41328128
2022-01-13,114.54,115.02,113.67,114.41,53433107
2022-01-14,119.02,119.32,117.59,118.49,74485766
2022-01-17,116.14,116.82,113.99,115.35,71350118
2022-01-18,113.36,114.81,112.11,113.21,57591818
2022-01-19,111.08,111.47,110.81,111.23,63553397
2022-01-20,111.17,112.04,110.82,111.35,83154616
2022-01-21,110.54,110.95,110.27,110.53,47088861
2022-01-24,111.28,113.93,110.66,112.32,32003811
2022-01-25,111.41,111.61,109.99,110.87,84139399
2022-01-26,108.83,109.78,107.63,108.87,40451822
2022-01-27,107.12,107.63,107.0,107.21,37935515
2022-01-28,107.58,108.22,107.18,107.64,24374655
2022-01-31,110.25,110.78,109.64,110.1,62836507
2022-02-01,110.47,111.26,109.6,110.14,26139352
2022-02-02,108.44,109.45,108.3,108.95,37037076
2022-02-03,106.98,107.1,106.26,106.66,63264080
2022-02-04,109.64,111.09,108.96,110.3,66739134
2022-02-07,105.89,106.73,105.78,106.25,38526308
2022-02-08,105.45,106.44,105.26,105.97,47387651
2022-02-09,107.86,108.22,107.4,107.86,35268322
2022-02-10,106.9,108.56,106.46,107.54,40151680
2022-02-11,105.63,107.43,105.35,106.35,55618123
2022-02-14,107.51,109.16,106.39,107.76,40909582
2022-02-15,105.58,106.09,104.81,105.35,45346681
2022-02-16,100.59,102.89,100.05,101.53,27830716
2022-02-17,101.84,103.22,101.09,102.47,78665561
2022-02-18,100.13,101.01,99.46,100.39,61316540
2022-02-21,100.45,102.14,99.96,100.82,68661261
2022-02-22,100.78,101.33,100.22,100.69,83779901
2022-02-23,101.06,102.17,100.84,101.41,35943125
2022-02-24,100.87,101.32,100.8,101.05,43322200
2022-02-25,102.62,103.44,101.75,102.42,23431687
2022-02-28,100.47,102.12,99.77,100.99,175597100
2022-03-01,102.18,104.33,101.72,102.89,47096038
2022-03-02,100.21,100.62,99.89,100.31,75755736
2022-03-03,103.6,103.82,102.52,103.07,30470486
2022-03-04,108.13,108.48,107.37,107.98,74483555
2022-03-07,109.25,109.78,107.65,108.39,105115459
2022-03-08,112.52,112.71,111.79,112.36,48808803
2022-03-09,118.12,118.51,115.28,117.13,33370437
2022-03-10,116.63,116.96,115.81,116.47,47299723
2022-03-11,116.77,117.4,115.88,116.76,20518325
2022-03-14,114.37,115.84,113.43,114.85,49247978
2022-03-15,112.78,113.64,112.5,113.13,69436305
2022-03-16,114.0,114.2,113.63,113.87,49289937
2022-03-17,110.56,110.71,109.29,109.99,44628255
2022-03-18,112.2,112.47,111.96,112.19,61747300
2022-03-21,113.06,113.96,111.17,112.76,63664871
2022-03-22,114.54,115.24,113.84,114.62,25740375
2022-03-23,114.28,115.11,113.6,114.33,51808394
2022-03-24,116.14,117.2,115.35,116.19,132478061
2022-03-25,117.05,117.47,116.62,116.99,29312572
2022-03-28,117.78,119.52,116.65,118.35,48320479
2022-03-29,121.74,122.65,119.64,120.77,108714094
2022-03-30,118.23,118.81,115.95,117.5,77765125
2022-03-31,116.17,116.47,114.92,115.75,40717758
2022-04-01,121.65,122.54,121.3,121.84,54297444
2022-04-04,122.72,122.86,122.1,122.45,49957784
2022-04-05,117.79,119.08,117.02,117.96,37069490
2022-04-06,113.19,114.37,112.56,113.64,48536794
2022-04-07,113.61,114.08,112.62,113.5,44702818
2022-04-08,111.9,113.66,110.97,112.25,52306601
2022-04-11,109.9,110.78,109.76,110.32,37064874
