date,open,high,low,close,volume
2019-07-05,803.8,812.11,800.24,806.1,13200713
2019-07-08,779.71,796.74,770.96,782.9,15790008
2019-07-09,795.51,798.9,772.66,786.2,5164723
2019-07-10,766.16,778.11,758.59,769.25,5732601
2019-07-11,761.87,772.23,754.99,766.4,26257746
2019-07-12,759.51,764.98,748.08,755.8,7128212
2019-07-15,746.07,757.43,742.67,749.75,10060952
2019-07-16,762.93,771.16,749.82,761.05,9167598
2019-07-17,752.96,759.06,742.44,752.6,9810637
2019-07-18,737.16,749.95,734.88,740.4,8301541
2019-07-19,726.33,734.77,723.49,729.25,10623997
2019-07-22,726.23,732.91,720.23,727.45,6660454
2019-07-23,731.08,734.63,719.29,728.0,8941362
2019-07-24,716.31,721.21,705.6,712.3,3732140
2019-07-25,725.77,728.55,714.75,723.15,9434845
2019-07-26,735.98,739.08,724.94,729.85,11822619
2019-07-29,718.89,724.46,713.12,720.25,16154888
2019-07-30,708.85,712.99,702.7,707.6,17750202
2019-07-31,678.87,681.05,667.7,674.1,8280784
2019-08-01,673.51,677.87,663.69,669.3,15224209
2019-08-02,672.41,679.28,668.09,673.85,5623882
2019-08-05,658.03,667.67,652.11,662.45,7720732
2019-08-06,677.1,685.01,671.97,679.0,22488358
2019-08-07,660.21,669.37,651.18,659.95,10954986
2019-08-08,659.21,665.89,654.94,660.1,11234980
2019-08-09,654.89,668.51,650.35,660.8,9146703
2019-08-13,648.89,655.49,639.92,649.45,25456466
2019-08-14,668.09,671.11,656.36,663.2,13039733
2019-08-16,678.08,686.58,669.78,675.65,21011684
2019-08-19,681.46,692.9,677.12,685.0,7438851
2019-08-20,677.53,682.74,661.88,672.35,6150084
2019-08-21,668.3,672.23,658.93,664.7,6820861
2019-08-22,666.4,672.28,654.98,661.15,13696153
2019-08-23,668.02,675.16,655.35,663.9,22789359
2019-08-26,687.83,692.19,676.29,683.7,14549521
2019-08-27,685.06,689.08,672.01,682.95,15505858
2019-08-28,682.51,685.07,670.98,678.2,10902883
2019-08-29,661.23,670.79,647.6,661.15,5291205
2019-08-30,662.43,671.34,656.11,663.9,27501039
2019-09-03,641.93,653.14,639.6,645.7,13939832
2019-09-04,651.61,656.31,641.72,647.3,12991285
