date,open,high,low,close,volume
2019-07-05,3713.01,3736.43,3696.47,3719.15,10520198
2019-07-08,3379.8,3576.59,3240.14,3413.3,9790828
2019-07-09,3690.0,3851.68,3473.7,3603.1,10849379
2019-07-10,3575.47,3630.6,3333.67,3429.05,12856258
2019-07-11,3519.57,3546.19,3311.45,3451.05,11257049
2019-07-12,3379.41,3465.48,3258.73,3377.5,12095375
2019-07-15,3426.8,3527.11,3324.85,3412.1,17438683
2019-07-16,3479.97,3547.42,3357.14,3448.7,4383084
2019-07-17,3516.45,3584.64,3398.11,3463.3,14190437
2019-07-18,3459.91,3566.08,3345.28,3467.65,5928278
2019-07-19,3338.45,3380.85,3244.26,3323.1,7252785
2019-07-22,3247.9,3319.27,3178.5,3246.6,10624130
2019-07-23,3367.84,3390.53,3169.93,3276.9,12283361
2019-07-24,3140.79,3255.57,3122.23,3173.55,13028146
2019-07-25,3055.11,3142.07,2982.63,3046.5,6234037
2019-07-26,3256.39,3351.71,3188.04,3264.6,22605245
2019-07-29,3306.25,3356.76,3178.74,3252.65,8114550
2019-07-30,3226.1,3315.01,3196.04,3249.95,6978831
2019-07-31,3233.69,3354.54,3135.9,3252.05,5294227
2019-08-01,3252.7,3324.27,3114.77,3222.1,5039609
2019-08-02,3238.12,3294.15,3159.93,3237.9,4966351
2019-08-05,3157.02,3212.13,3093.34,3160.05,11702052
2019-08-06,3263.55,3338.22,3202.95,3272.25,13526823
2019-08-07,3296.28,3335.48,3204.12,3265.8,6491428
2019-08-08,3348.84,3407.13,3254.87,3334.7,5649944
2019-08-09,3467.55,3496.27,3352.84,3419.7,8995840
2019-08-13,3262.28,3305.14,3168.46,3221.85,10498457
2019-08-14,3265.5,3363.71,3239.03,3289.95,11405250
2019-08-16,3344.07,3416.67,3237.13,3337.2,6174585
2019-08-19,3292.93,3373.4,3280.3,3328.05,9198008
2019-08-20,3260.52,3345.7,3201.35,3294.1,21893151
2019-08-21,3245.77,3330.04,3182.32,3261.45,5502502
2019-08-22,3165.52,3197.43,3049.76,3114.1,9855413
2019-08-23,3156.05,3261.49,3121.96,3174.35,12840132
2019-08-26,3353.64,3411.03,3262.02,3324.25,6163510
2019-08-27,3325.15,3420.63,3292.66,3357.75,13575168
2019-08-28,3361.11,3378.5,3255.21,3326.35,5119042
2019-08-29,3296.22,3359.41,3226.77,3299.3,13733577
2019-08-30,3337.95,3371.22,3271.45,3332.5,10219149
2019-09-03,3278.89,3326.9,3201.47,3258.5,4917866
2019-09-04,3214.09,3291.97,3173.44,3250.25,14103428
2019-09-05,3314.55,3337.67,3208.55,3292.7,6389492
2019-09-06,3381.3,3442.05,3289.48,3373.0,9262089
2019-09-09,3424.31,3476.83,3370.03,3437.35,13703736
2019-09-11,3431.43,3483.59,3374.32,3416.4,6174101
2019-09-12,3430.21,3450.58,3341.89,3382.35,7678631
2019-09-13,3396.28,3490.53,3380.0,3427.35,17560722
2019-09-16,3397.33,3451.67,3359.37,3418.85,3552606
2019-09-17,3380.31,3398.34,3318.81,3368.4,20326423
2019-09-18,3373.12,3475.57,3357.81,3413.85,4808849
2019-09-19,3362.72,3404.11,3297.61,3362.05,7049451
2019-09-20,3717.4,3807.88,3651.18,3702.2,11516620
2019-09-23,3949.75,4093.92,3898.12,4023.75,13519796
2019-09-24,3987.55,4062.31,3880.36,3961.75,11606672
2019-09-25,3965.06,3993.37,3872.98,3930.9,10239141
2019-09-26,3979.46,4086.27,3883.25,4000.8,8041073
2019-09-27,3985.63,4179.01,3931.91,4057.4,21828805
2019-09-30,4007.13,4146.5,3933.74,4046.05,14717882
2019-10-01,4073.53,4099.01,3877.28,3992.4,18000284
2019-10-03,3878.38,4030.08,3843.05,3959.8,8100343
2019-10-04,3860.91,4024.11,3812.55,3903.95,3122016
2019-10-07,3977.95,3999.7,3798.01,3900.9,16653164
2019-10-09,4060.39,4087.87,3946.44,4023.9,11950843
2019-10-10,3961.98,4005.96,3874.39,3948.9,10957407
2019-10-11,3906.79,4030.36,3871.78,3973.2,7530019
2019-10-14,3822.8,3942.69,3773.25,3883.3,8402470
2019-10-15,3845.27,4002.54,3794.47,3879.45,7411702
2019-10-16,4033.23,4102.87,3926.66,4016.4,10228408
2019-10-17,4063.31,4189.59,3972.2,4106.8,5667490
2019-10-18,4063.52,4230.46,4036.74,4137.65,14641947
2019-10-22,3973.37,4125.46,3897.43,4034.15,27685246
2019-10-23,4065.16,4098.8,3939.72,4038.35,7416882
2019-10-24,4036.67,4060.92,3968.76,4026.15,4509515
2019-10-25,3996.72,4021.89,3956.62,3987.25,9502715
2019-10-27,3953.18,4032.91,3937.03,3978.9,11707114
2019-10-29,4075.63,4093.86,3999.79,4047.25,12543618
2019-10-30,4000.37,4058.15,3935.84,3992.0,22283362
2019-10-31,4028.52,4076.95,3980.92,4027.55,15036589
2019-11-01,4103.35,4120.99,4005.48,4069.85,4042220
2019-11-04,4068.43,4182.13,4054.8,4113.0,5390285
2019-11-05,4235.74,4282.33,4180.0,4227.8,12248604
2019-11-06,4210.37,4242.92,4121.03,4188.15,7968597
2019-11-07,4195.96,4271.67,4182.5,4225.85,21330727
2019-11-08,4162.01,4217.91,4126.91,4159.45,6258989
2019-11-11,4205.06,4214.82,4132.08,4169.05,16166481
2019-11-13,4137.47,4194.56,4116.42,4144.55,7227657
2019-11-14,4205.81,4256.67,4149.61,4210.55,11400779
2019-11-15,4203.73,4231.15,4140.7,4187.6,6610254
