date,open,high,low,close,volume
2019-07-05,358.39,361.56,355.71,358.08,4889620
2019-07-08,347.52,353.77,345.17,349.83,21536918
2019-07-09,352.3,360.99,350.39,355.62,2539269
2019-07-10,350.6,357.98,348.53,351.94,29314939
2019-07-11,351.57,358.27,349.53,354.1,8661884
2019-07-12,348.48,354.79,346.28,349.54,9095695
2019-07-15,342.99,346.68,340.14,344.14,9704376
2019-07-16,345.65,348.6,341.25,344.29,12124010
2019-07-17,340.32,343.03,336.2,339.87,9998684
2019-07-18,333.33,338.03,332.81,336.19,9354780
2019-07-19,336.46,337.55,330.86,333.69,19241015
2019-07-22,338.42,340.19,332.88,336.24,13268371
2019-07-23,339.15,339.83,334.53,337.27,6191535
2019-07-24,332.94,336.4,330.75,332.65,14482225
2019-07-25,333.22,334.66,330.76,332.75,12995960
2019-07-26,327.84,331.69,326.66,328.73,7613692
2019-07-29,329.41,330.28,326.74,328.38,14859721
2019-07-30,336.93,342.09,335.4,339.38,9242374
2019-07-31,330.93,335.59,328.3,331.38,8950848
2019-08-01,318.32,321.34,315.38,317.93,8829766
2019-08-02,336.22,340.51,330.39,337.22,2969893
2019-08-05,351.06,356.75,344.17,351.11,7684731
2019-08-06,357.52,366.68,355.49,361.66,14284452
2019-08-07,359.69,366.64,354.28,359.35,9888569
2019-08-08,368.66,370.22,360.59,365.29,5259268
2019-08-09,369.6,372.52,358.08,364.31,16198209
2019-08-13,344.53,350.75,336.2,345.17,8613106
2019-08-14,355.83,361.14,349.13,354.54,5429230
2019-08-16,349.9,360.9,347.33,354.89,30132108
2019-08-19,349.2,362.28,344.6,354.35,5906177
2019-08-20,347.44,356.26,343.62,351.45,15523125
2019-08-21,348.34,355.26,341.67,348.36,6806840
2019-08-22,347.82,352.32,338.04,346.25,10702726
2019-08-23,349.43,359.01,340.99,349.83,6369332
2019-08-26,348.84,358.7,346.36,354.0,5381316
2019-08-27,340.87,350.94,332.58,341.88,12983591
2019-08-28,335.08,344.67,332.21,339.43,12246379
2019-08-29,337.8,341.77,328.51,337.17,17723825
2019-08-30,334.52,345.58,331.16,340.41,9829559
2019-09-03,329.48,334.99,324.27,330.64,30348921
2019-09-04,341.01,345.21,333.06,339.33,11435910
2019-09-05,339.24,348.67,335.52,341.29,13276193
2019-09-06,338.17,345.96,336.68,342.81,5070150
2019-09-09,349.72,355.0,343.24,349.88,7356195
2019-09-11,346.49,353.23,345.36,348.56,12967224
2019-09-12,341.08,345.64,335.03,341.14,9587605
2019-09-13,337.74,340.33,331.62,336.73,10983857
2019-09-16,336.66,342.71,333.21,337.66,6648147
2019-09-17,332.46,335.94,329.11,333.59,10628707
2019-09-18,332.95,334.06,327.0,329.42,10610648
2019-09-19,330.93,334.47,327.7,331.38,5542067
2019-09-20,353.42,354.59,343.25,349.83,13788846
2019-09-23,337.18,346.55,334.45,341.59,4274010
2019-09-24,343.81,346.67,338.09,342.22,10964953
2019-09-25,335.45,338.87,329.81,335.35,24176508
2019-09-26,339.18,341.1,331.61,337.71,14053343
2019-09-27,338.4,346.89,336.61,342.67,14009486
2019-09-30,358.27,367.9,353.65,360.29,6384490
2019-10-01,342.28,349.02,340.54,344.48,24218483
2019-10-03,343.64,345.88,331.3,338.54,19904466
2019-10-04,331.38,338.17,326.01,333.24,6558684
2019-10-07,340.51,343.06,328.22,335.26,7886902
2019-10-09,349.36,359.37,344.3,352.78,18726003
2019-10-10,365.56,376.07,362.91,370.3,24548697
2019-10-11,372.21,386.9,364.74,375.84,5313453
2019-10-14,385.6,392.32,376.41,386.3,6054063
2019-10-15,381.28,385.11,367.98,376.58,9306301
2019-10-16,375.18,386.72,367.21,378.15,3377169
2019-10-17,382.96,385.97,368.06,378.74,10095680
2019-10-18,372.62,387.25,366.48,376.43,18091764
2019-10-22,370.98,377.4,358.8,367.21,4870840
2019-10-23,357.82,363.13,346.09,353.71,10656164
2019-10-24,364.34,376.21,358.78,365.49,7476013
2019-10-25,363.64,375.8,361.96,368.24,22704384
2019-10-27,363.56,371.42,358.49,366.22,7520925
2019-10-29,347.42,362.68,345.02,353.27,21371999
2019-10-30,365.96,368.4,354.81,361.17,7417614
2019-10-31,370.89,373.07,357.18,367.35,14704785
2019-11-01,368.64,373.07,358.87,366.18,11342513
2019-11-04,375.13,380.38,363.91,371.03,9331994
2019-11-05,373.7,382.02,370.25,376.87,6735020
2019-11-06,362.17,373.77,359.97,364.6,11753285
2019-11-07,367.21,370.98,356.4,364.9,8023040
2019-11-08,362.36,366.42,357.45,362.35,7083031
2019-11-11,367.1,371.95,358.29,364.65,20883230
2019-11-13,365.53,369.18,355.98,361.81,13149059
2019-11-14,354.5,360.12,350.31,355.82,13796356
2019-11-15,380.99,392.37,377.86,385.81,8221772
2019-11-18,405.71,409.44,395.3,401.66,9112033
2019-11-19,432.67,444.22,422.71,431.25,8831251
2019-11-20,431.46,435.37,418.97,429.24,11836696
2019-11-21,415.32,425.9,406.66,418.44,13783701
2019-11-22,409.45,423.83,404.03,412.9,9849881
2019-11-25,439.03,453.39,434.57,443.08,6727896
2019-11-26,428.85,434.13,416.82,424.38,14627017
2019-11-27,427.85,439.43,413.11,425.36,10168421
2019-11-28,428.86,443.11,418.39,428.6,4865487
2019-11-29,437.78,449.25,426.59,434.3,3438164
2019-12-02,449.19,459.6,436.98,450.15,11606133
2019-12-03,448.85,466.04,441.77,450.64,6605140
2019-12-04,451.47,466.74,441.18,452.9,12405205
2019-12-05,435.49,447.23,429.61,439.11,6785418
2019-12-06,432.77,448.85,421.57,436.65,10688602
2019-12-09,436.74,444.58,428.88,437.63,8276203
2019-12-10,433.89,451.85,428.26,438.76,24011802
2019-12-11,431.16,447.8,419.37,434.59,16082680
2019-12-12,430.53,444.04,421.21,430.57,19613802
2019-12-13,415.1,426.94,409.3,419.92,10120964
2019-12-16,422.29,424.09,406.33,414.08,15085975
2019-12-17,427.94,438.14,426.01,431.84,10468912
2019-12-18,433.67,441.67,420.92,430.22,20850559
2019-12-19,434.8,450.97,429.71,441.17,9643692
2019-12-20,448.04,451.26,437.16,445.44,4972090
2019-12-23,449.41,451.54,438.9,446.42,3681330
2019-12-24,447.82,455.45,442.26,448.73,23028685
2019-12-26,442.46,445.27,433.63,439.3,12702989
2019-12-27,444.15,454.17,439.86,446.71,13127555
2019-12-30,449.09,457.24,446.9,452.01,21060705
