date,open,high,low,close,volume
2022-01-03,95.92,97.01,95.03,95.99,50954995
2022-01-04,99.89,101.24,99.62,100.23,48003478
2022-01-05,96.48,97.98,96.15,96.85,29474442
2022-01-06,95.85,96.42,95.34,95.82,57738618
2022-01-07,96.13,96.87,95.32,96.29,95278172
2022-01-10,97.89,98.59,97.58,98.13,53177348
2022-01-11,99.47,99.77,98.99,99.34,32007950
2022-01-12,104.37,105.09,102.96,103.97,27164210
2022-01-13,103.41,104.59,102.8,103.65,44452158
2022-01-14,102.05,102.38,101.23,101.79,37129517
2022-01-17,100.84,101.99,100.43,101.27,66224661
2022-01-18,100.56,101.11,99.92,100.55,86503986
2022-01-19,100.97,101.36,99.83,100.35,60333264
2022-01-20,98.44,98.78,98.06,98.32,48326793
2022-01-21,100.53,100.94,98.54,99.81,47418400
2022-01-24,99.85,101.16,99.62,100.48,51442076
2022-01-25,97.93,98.57,97.08,97.9,31438924
2022-01-26,99.84,100.51,99.03,99.75,63620077
2022-01-27,98.6,99.35,97.32,98.07,32449860
2022-01-28,96.11,96.36,95.29,95.71,78139096
2022-01-31,95.97,96.36,95.14,95.81,43238191
2022-02-01,92.69,92.94,92.0,92.44,69710199
2022-02-02,93.19,94.59,92.5,93.47,27735558
2022-02-03,87.94,89.05,87.17,88.25,69513908
2022-02-04,86.36,86.61,85.99,86.39,86231363
2022-02-07,89.03,89.42,88.58,89.09,29945888
2022-02-08,88.33,88.51,87.14,87.82,47780688
2022-02-09,86.61,88.11,86.12,86.86,57167037
2022-02-10,88.85,89.36,88.53,89.04,58298137
2022-02-11,87.55,87.85,87.16,87.58,43649934
2022-02-14,89.5,89.87,88.06,88.86,40678059
2022-02-15,91.52,91.77,90.19,90.91,55330715
2022-02-16,91.64,92.12,91.36,91.72,57572474
2022-02-17,88.81,89.32,88.72,89.05,38902598
2022-02-18,87.9,88.65,87.33,87.92,35945583
2022-02-21,92.71,93.24,92.32,92.75,81172238
2022-02-22,92.36,92.56,90.73,91.78,52200418
2022-02-23,97.49,98.33,96.81,97.37,20152758
2022-02-24,100.61,100.91,100.46,100.68,81371690
2022-02-25,101.45,102.15,101.0,101.66,39376365
2022-02-28,102.21,103.08,101.58,102.19,51352783
2022-03-01,101.26,101.45,100.68,101.18,58088558
2022-03-02,100.33,102.35,99.93,100.93,27620261
2022-03-03,99.23,100.34,98.63,99.48,44545093
2022-03-04,99.76,99.88,98.95,99.28,84694667
2022-03-07,96.24,96.88,96.05,96.55,77305628
2022-03-08,93.95,94.1,93.59,93.78,44517363
2022-03-09,95.97,96.55,95.61,96.19,66576823
2022-03-10,93.25,93.82,92.51,93.07,70177867
2022-03-11,94.25,95.42,94.0,94.67,68760096
2022-03-14,90.45,91.91,89.69,91.09,31614403
2022-03-15,92.2,92.41,92.0,92.18,96397774
2022-03-16,91.5,92.73,91.01,91.73,41532902
2022-03-17,94.38,95.49,93.11,94.12,52235259
2022-03-18,92.94,93.87,92.59,93.43,43445647
2022-03-21,89.71,89.86,89.47,89.69,54813003
2022-03-22,89.46,89.59,88.83,89.29,35386034
2022-03-23,89.05,89.89,88.88,89.51,45694312
2022-03-24,88.8,90.71,88.08,89.21,53792060
2022-03-25,90.82,91.27,89.25,90.18,81604352
2022-03-28,89.55,90.24,88.48,89.2,77757452
2022-03-29,86.28,88.3,85.89,87.0,79348077
2022-03-30,85.22,85.84,84.64,85.3,70773447
2022-03-31,83.76,85.55,83.11,84.45,104657503
2022-04-01,82.8,84.49,82.21,83.6,44521251
2022-04-04,88.05,88.22,87.09,87.74,46942137
2022-04-05,90.2,90.49,89.49,90.0,46175337
2022-04-06,91.28,91.75,90.38,91.27,48792211
2022-04-07,91.94,92.44,91.74,92.12,28149644
2022-04-08,92.51,92.9,92.42,92.7,55585774
2022-04-11,93.64,93.98,92.31,93.29,60973845
2022-04-12,92.9,94.76,92.68,93.63,45108030
2022-04-13,93.62,94.14,93.27,93.73,24756467
2022-04-14,89.7,90.45,89.35,89.92,50430453
2022-04-15,89.39,90.07,88.54,89.28,29789032
2022-04-18,88.72,89.79,88.27,88.88,59320054
2022-04-19,87.25,87.99,86.86,87.59,52444090
2022-04-20,87.11,87.52,85.66,86.64,54542044
2022-04-21,87.47,88.41,86.16,87.19,32707628
2022-04-22,87.98,89.33,87.61,88.57,82818917
2022-04-25,89.42,89.8,88.6,89.13,53522743
2022-04-26,90.43,90.95,90.24,90.49,34685720
2022-04-27,91.64,92.59,90.87,91.9,63046948
2022-04-28,91.35,91.57,90.99,91.38,51993419
2022-04-29,92.21,93.61,91.55,92.37,104249786
2022-05-02,89.15,89.49,88.91,89.23,40079830
2022-05-03,88.95,89.28,88.22,88.57,30356468
2022-05-04,88.15,88.32,87.15,87.71,56135122
2022-05-05,90.52,90.77,90.24,90.47,74956905
2022-05-06,90.18,91.86,89.98,91.11,126622551
2022-05-09,88.68,88.96,88.51,88.73,196265410
2022-05-10,89.46,90.77,88.52,89.82,26875191
2022-05-11,91.25,92.7,90.39,91.5,47367102
2022-05-12,91.43,92.05,90.92,91.36,30396817
2022-05-13,92.97,93.76,91.77,92.66,45289240
2022-05-16,87.83,88.54,87.66,88.18,134682546
2022-05-17,83.53,84.67,83.0,83.57,36022310
2022-05-18,81.71,82.48,80.92,81.64,49562894
2022-05-19,81.74,82.52,81.31,81.91,39633648
2022-05-20,84.91,85.02,84.03,84.49,33471847
2022-05-23,82.58,83.57,81.77,82.63,102425838
2022-05-24,81.82,82.26,80.07,81.26,27013049
2022-05-25,81.58,81.69,81.11,81.42,48376662
2022-05-26,81.18,81.57,79.87,80.65,51790580
2022-05-27,79.53,80.05,79.45,79.79,49343352
2022-05-30,79.57,79.75,78.44,79.15,44068245
2022-05-31,81.11,81.62,80.99,81.28,95369628
2022-06-01,82.41,83.65,82.23,83.14,21483184
2022-06-02,83.13,83.67,82.73,83.2,59537341
2022-06-03,85.82,86.88,85.46,86.03,60607747
2022-06-06,86.39,87.53,86.02,86.94,56082224
2022-06-07,88.79,89.84,88.28,88.99,35862259
2022-06-08,87.41,88.56,86.92,87.5,80966495
2022-06-09,86.63,87.1,85.78,86.39,79361637
2022-06-10,84.94,86.59,84.4,85.27,35360221
2022-06-13,85.37,86.08,84.57,85.15,30965381
2022-06-14,85.95,86.14,84.45,85.28,28662279
2022-06-15,85.73,86.32,85.25,85.86,54717581
2022-06-16,89.54,90.26,88.4,89.34,50944449
2022-06-17,90.98,91.1,90.14,90.67,43275204
2022-06-20,89.41,90.15,89.21,89.68,114956055
2022-06-21,89.54,90.05,89.15,89.61,41578751
2022-06-22,93.07,93.62,91.14,92.28,53894205
2022-06-23,94.31,94.63,92.53,93.67,46261069
2022-06-24,96.67,97.59,95.39,96.44,109647450
2022-06-27,95.28,95.82,95.13,95.45,22559495
2022-06-28,94.36,94.57,93.42,94.03,44170582
2022-06-29,92.34,94.04,91.81,92.66,63925938
2022-06-30,91.68,92.67,91.07,91.86,45744323
2022-07-01,89.64,90.51,89.05,89.86,29674555
2022-07-04,90.15,91.57,88.94,90.33,53659676
2022-07-05,91.38,91.8,90.23,90.83,26140702
2022-07-06,93.37,93.53,92.91,93.23,65373497
2022-07-07,90.08,90.58,89.06,89.95,42381749
2022-07-08,87.94,88.52,87.86,88.2,39623969
2022-07-11,89.6,90.35,88.68,89.57,75981164
2022-07-12,89.87,90.01,89.55,89.84,33472805
2022-07-13,89.71,90.45,89.1,89.86,26978395
2022-07-14,92.28,92.36,91.82,92.09,34737853
2022-07-15,90.54,90.86,89.54,90.19,113388873
2022-07-18,88.85,89.03,88.56,88.82,33466601
2022-07-19,86.43,88.58,86.05,87.27,57871923
2022-07-20,84.05,84.46,83.38,83.76,70060861
2022-07-21,84.14,84.27,83.55,83.93,34333550
2022-07-22,82.68,83.53,82.1,83.0,34351346
2022-07-25,82.13,82.45,81.07,81.73,53736176
2022-07-26,80.09,80.62,79.81,80.2,54715765
2022-07-27,80.17,80.35,79.93,80.11,85718600
2022-07-28,78.86,79.2,78.3,78.79,36757064
2022-07-29,79.13,79.33,78.75,79.08,42996623
2022-08-01,79.99,80.11,79.52,79.76,155614461
2022-08-02,79.08,79.7,78.83,79.23,24409512
2022-08-03,78.57,79.43,78.18,78.61,22487233
2022-08-04,79.03,79.5,78.11,78.84,28754854
2022-08-05,78.62,78.98,78.51,78.74,77685234
2022-08-08,80.84,82.0,79.8,80.81,41959674
2022-08-09,80.77,81.87,80.63,81.27,41953602
2022-08-10,82.65,83.49,82.42,83.01,33985499
2022-08-11,84.16,84.41,83.71,83.97,72196410
2022-08-12,82.23,82.92,80.65,81.73,28933540
2022-08-15,80.36,81.24,80.15,80.76,39623493
2022-08-16,80.34,81.0,80.07,80.63,34527842
2022-08-17,81.69,82.67,81.48,81.98,17169145
2022-08-18,85.08,86.29,84.1,85.15,41294421
2022-08-19,84.09,84.64,83.95,84.27,48830316
2022-08-22,84.26,85.18,83.51,84.3,36664693
2022-08-23,85.72,86.23,84.63,85.6,44912358
2022-08-24,85.66,86.23,84.62,85.44,45375511
2022-08-25,87.85,89.38,87.12,88.24,47409030
2022-08-26,85.96,86.28,85.4,85.83,32799183
2022-08-29,87.37,87.56,86.33,86.94,32054166
2022-08-30,87.82,88.79,87.24,88.05,50947801
2022-08-31,89.98,90.61,89.61,90.04,27704308
2022-09-01,90.13,90.56,89.58,90.09,45895771
2022-09-02,91.44,92.36,91.05,91.64,96179790
2022-09-05,91.16,91.38,90.8,91.13,49229528
2022-09-06,89.83,90.01,89.23,89.61,24080353
2022-09-07,87.89,88.43,87.41,87.87,53728860
2022-09-08,85.66,86.19,84.71,85.31,69367548
2022-09-09,84.52,84.67,84.28,84.5,36375525
2022-09-12,84.7,85.78,84.54,85.06,44364592
2022-09-13,84.52,85.16,84.31,84.73,35196529
2022-09-14,85.36,85.47,84.9,85.09,41560506
2022-09-15,87.5,87.61,86.9,87.25,38313582
2022-09-16,86.67,86.88,86.1,86.37,59518691
2022-09-19,90.86,91.05,89.88,90.54,97059864
2022-09-20,91.63,92.39,91.23,91.95,51157503
2022-09-21,90.84,92.5,90.13,91.61,26986209
2022-09-22,91.39,92.68,90.51,91.24,137523708
2022-09-23,88.92,89.91,88.76,89.44,63129138
2022-09-26,90.01,90.57,88.35,89.42,68484756
2022-09-27,85.83,85.88,85.43,85.67,48741583
2022-09-28,88.42,88.85,87.08,87.87,54878117
2022-09-29,83.36,84.13,82.43,83.08,43610269
2022-09-30,83.08,83.64,82.79,83.18,71772498
2022-10-03,81.23,81.65,81.09,81.32,41308226
2022-10-04,80.22,80.57,79.99,80.21,60811126
2022-10-05,79.54,80.02,78.72,79.32,73683912
2022-10-06,82.36,82.97,81.84,82.46,82302127
2022-10-07,80.92,81.03,80.27,80.69,75550407
2022-10-10,82.57,82.82,81.64,82.2,33201116
2022-10-11,83.65,84.73,83.42,84.16,93795931
2022-10-12,79.68,81.1,79.32,80.33,65217418
