date,open,high,low,close,volume
2019-07-05,506.83,510.63,504.25,508.2,9108593
2019-07-08,516.43,524.1,513.71,519.53,6747075
2019-07-09,510.88,515.25,500.34,510.38,6023044
2019-07-10,509.91,514.05,501.15,509.45,16523990
2019-07-11,515.2,517.37,505.96,510.4,10034738
2019-07-12,513.13,517.75,507.62,511.95,9702934
2019-07-15,511.13,517.67,508.0,513.75,6403508
2019-07-16,513.42,515.5,505.55,509.83,21972342
2019-07-17,519.43,525.89,516.33,520.38,9572274
2019-07-18,509.72,514.41,501.93,509.27,3875716
2019-07-19,505.7,511.13,503.87,507.8,11478743
2019-07-22,510.86,515.25,504.17,509.48,6824289
2019-07-23,507.75,509.72,501.04,505.48,15768307
2019-07-24,510.64,514.61,506.13,510.65,16807091
2019-07-25,505.82,509.46,502.5,505.65,15863993
2019-07-26,502.77,503.44,497.11,500.73,7939748
2019-07-29,505.39,513.23,504.34,507.73,9451145
2019-07-30,509.52,515.07,506.32,511.8,11323587
2019-07-31,520.29,521.93,511.98,517.28,15625680
2019-08-01,510.32,513.56,505.16,510.77,5951888
2019-08-02,505.47,510.32,499.92,505.25,10478212
2019-08-05,506.68,509.27,502.63,505.55,25445694
2019-08-06,510.08,516.63,506.43,512.1,7651397
2019-08-07,509.16,514.07,508.25,511.33,9870492
2019-08-08,541.71,549.93,537.84,544.12,36941252
2019-08-09,539.71,548.07,534.82,543.15,8863722
2019-08-13,537.49,544.28,531.13,536.25,4632923
2019-08-14,537.03,542.99,532.8,538.08,9717173
2019-08-16,530.93,539.02,522.28,531.38,23081925
2019-08-19,528.95,536.74,526.26,532.03,16961437
2019-08-20,538.41,551.39,534.15,542.0,6127210
2019-08-21,532.0,541.6,526.08,535.08,12308406
2019-08-22,536.78,544.36,529.81,539.45,9158319
2019-08-23,541.78,547.95,538.1,543.5,15008278
2019-08-26,547.67,552.43,541.57,546.42,7351367
2019-08-27,544.36,555.54,538.39,546.55,12805105
2019-08-28,559.07,567.22,556.47,561.97,25989991
2019-08-29,564.39,567.93,551.05,558.88,2708518
2019-08-30,546.34,557.12,542.54,550.17,13450703
2019-09-03,561.16,563.29,546.49,554.17,19338900
2019-09-04,570.44,572.4,554.57,562.83,4592463
2019-09-05,559.56,566.4,546.43,555.97,6974681
2019-09-06,549.61,555.08,544.1,550.2,8213123
2019-09-09,546.98,551.51,534.34,542.2,6938808
2019-09-11,530.7,532.33,524.24,528.85,6683743
2019-09-12,528.96,531.96,522.93,527.45,8291356
