date,open,high,low,close,volume
2019-07-05,1238.58,1242.54,1229.69,1236.2,19129542
2019-07-08,1196.32,1222.72,1187.76,1204.8,9610891
2019-07-09,1199.46,1203.24,1174.81,1189.57,11131920
2019-07-10,1197.96,1209.01,1180.6,1194.38,9529504
2019-07-11,1214.05,1220.01,1193.19,1203.57,18564849
2019-07-12,1196.98,1207.19,1185.37,1196.95,8790950
2019-07-15,1196.57,1211.36,1185.35,1197.38,18996644
2019-07-16,1205.14,1207.93,1184.32,1195.6,9495244
2019-07-17,1198.56,1206.41,1188.33,1198.72,6506848
2019-07-18,1208.77,1212.58,1194.14,1205.95,14045073
2019-07-19,1193.69,1196.52,1175.94,1187.82,8587014
2019-07-22,1150.96,1159.0,1136.65,1148.62,13637666
2019-07-23,1133.23,1143.22,1121.54,1131.75,2554567
2019-07-24,1130.68,1152.17,1128.22,1140.45,10026060
2019-07-25,1133.02,1155.93,1129.53,1143.03,7946904
2019-07-26,1136.74,1149.09,1132.39,1138.65,5876467
2019-07-29,1113.32,1129.03,1108.12,1122.15,7583422
2019-07-30,1124.84,1138.96,1118.68,1126.12,7506231
2019-07-31,1122.43,1134.08,1116.32,1125.82,9762926
2019-08-01,1108.44,1123.96,1098.6,1110.9,5047645
2019-08-02,1105.89,1113.7,1099.84,1107.18,11713265
2019-08-05,1084.77,1101.45,1081.13,1089.62,19800208
2019-08-06,1090.0,1100.42,1088.39,1094.55,11508079
2019-08-07,1093.47,1098.73,1084.15,1092.0,14985445
2019-08-08,1116.47,1122.86,1109.26,1116.57,17285470
2019-08-09,1141.5,1154.02,1131.04,1141.0,18556680
2019-08-13,1115.19,1125.29,1099.56,1110.18,25473901
2019-08-14,1119.39,1126.04,1098.07,1114.72,7791115
2019-08-16,1111.65,1129.81,1097.26,1113.85,6982053
2019-08-19,1107.97,1115.93,1095.36,1103.43,14795423
2019-08-20,1119.55,1123.22,1096.49,1110.3,14249448
2019-08-21,1121.43,1125.87,1106.42,1112.93,14737904
2019-08-22,1087.26,1095.79,1080.54,1087.05,25718904
2019-08-23,1084.22,1090.38,1074.35,1081.35,10057011
2019-08-26,1118.25,1146.14,1109.36,1128.07,12374815
2019-08-27,1131.53,1148.01,1111.51,1129.97,6125074
2019-08-28,1138.89,1142.16,1113.69,1123.75,29085671
2019-08-29,1117.81,1131.04,1103.78,1113.47,8451235
2019-08-30,1120.17,1123.31,1103.43,1113.97,8571794
2019-09-03,1104.89,1121.9,1092.27,1105.47,8408222
2019-09-04,1133.78,1136.5,1109.51,1123.88,7243736
2019-09-05,1123.45,1135.95,1107.32,1117.57,6943920
2019-09-06,1110.84,1135.92,1106.97,1122.95,7696248
2019-09-09,1127.83,1138.63,1113.56,1124.8,5051509
2019-09-11,1118.3,1138.57,1108.77,1125.65,6752589
2019-09-12,1124.81,1145.82,1121.78,1135.43,26497930
2019-09-13,1131.64,1135.89,1118.42,1128.72,14445929
2019-09-16,1117.58,1136.35,1108.72,1122.07,15887572
2019-09-17,1112.15,1119.39,1091.82,1105.68,18014725
2019-09-18,1090.35,1101.68,1084.75,1093.88,25019421
2019-09-19,1097.33,1114.54,1091.42,1101.05,4124207
2019-09-20,1216.59,1222.84,1171.12,1199.6,5406724
2019-09-23,1255.27,1278.61,1240.39,1257.25,6690731
2019-09-24,1258.41,1272.2,1239.28,1253.8,7906776
2019-09-25,1247.49,1267.54,1218.88,1239.7,8604629
2019-09-26,1244.14,1267.63,1215.62,1242.5,7997238
2019-09-27,1258.42,1266.61,1217.92,1244.2,11158924
2019-09-30,1232.05,1250.78,1198.81,1227.45,10178043
2019-10-01,1242.05,1263.57,1226.27,1248.8,6966881
2019-10-03,1237.43,1245.1,1208.58,1223.55,3369656
2019-10-04,1175.83,1206.48,1165.89,1189.7,6086971
2019-10-07,1183.41,1203.87,1159.83,1186.9,7598613
2019-10-09,1249.02,1255.01,1212.1,1228.15,8837865
2019-10-10,1212.56,1232.3,1182.92,1200.55,5684546
2019-10-11,1211.81,1220.83,1184.24,1198.8,7823889
2019-10-14,1206.12,1222.76,1178.65,1204.4,5680796
2019-10-15,1236.8,1250.33,1191.13,1223.05,9390282
2019-10-16,1244.05,1252.58,1193.51,1221.1,5847647
2019-10-17,1206.53,1248.7,1186.83,1220.0,6541279
2019-10-18,1224.42,1259.92,1213.47,1229.0,5197839
2019-10-22,1235.04,1264.09,1207.45,1239.3,9261210
2019-10-23,1247.77,1261.57,1220.81,1241.6,6484153
2019-10-24,1230.63,1245.57,1224.77,1236.1,15736411
2019-10-25,1213.8,1240.65,1210.71,1229.0,12249807
2019-10-27,1235.33,1249.78,1226.69,1237.7,9656769
2019-10-29,1252.09,1255.95,1225.03,1242.5,6711633
2019-10-30,1254.15,1266.38,1230.84,1248.35,12095642
2019-10-31,1228.34,1247.6,1214.34,1230.35,14124848
2019-11-01,1232.22,1249.23,1226.42,1240.05,10739508
2019-11-04,1235.1,1245.85,1228.37,1236.85,22296640
2019-11-05,1233.47,1248.8,1228.74,1239.5,12583717
2019-11-06,1250.48,1265.69,1247.03,1256.65,15790187
2019-11-07,1269.5,1272.93,1253.28,1263.7,10690631
2019-11-08,1262.78,1264.52,1247.46,1255.6,14019052
2019-11-11,1259.95,1274.09,1255.69,1264.75,6713997
2019-11-13,1255.01,1265.4,1253.27,1257.55,7951701
2019-11-14,1271.62,1282.64,1265.32,1273.9,11908671
2019-11-15,1276.27,1284.89,1268.64,1277.9,11865497
2019-11-18,1256.81,1267.75,1252.89,1262.05,12889216
2019-11-19,1271.03,1279.56,1266.61,1271.9,17335935
2019-11-20,1271.73,1281.04,1268.45,1273.35,4904236
2019-11-21,1288.53,1292.37,1278.69,1283.35,6143280
2019-11-22,1266.02,1271.05,1255.79,1264.75,11216337
2019-11-25,1272.0,1278.3,1262.22,1271.1,6961557
2019-11-26,1271.42,1282.17,1263.95,1275.05,54134365
2019-11-27,1286.18,1289.34,1271.05,1278.4,12941573
2019-11-28,1271.32,1273.19,1258.15,1265.3,9615916
2019-11-29,1270.72,1284.21,1266.49,1274.95,7728002
2019-12-02,1261.29,1275.04,1255.99,1265.75,7865640
2019-12-03,1253.63,1261.81,1244.75,1255.4,10151844
2019-12-04,1244.98,1260.0,1241.84,1251.65,10575881
2019-12-05,1246.14,1255.29,1238.67,1245.6,7958460
2019-12-06,1246.58,1253.16,1238.02,1246.05,8723399
2019-12-09,1243.53,1252.62,1233.78,1242.95,19584283
2019-12-10,1247.03,1254.97,1242.47,1249.5,19982114
2019-12-11,1248.69,1253.36,1243.34,1248.75,11343014
2019-12-12,1270.86,1272.76,1258.47,1263.6,5113863
2019-12-13,1263.14,1272.72,1259.69,1263.85,13089844
2019-12-16,1260.12,1266.37,1249.75,1257.35,21752448
2019-12-17,1268.12,1278.82,1266.45,1271.1,19835547
2019-12-18,1288.74,1302.81,1286.19,1292.35,14437052
2019-12-19,1291.07,1298.37,1282.44,1288.8,20364568
2019-12-20,1292.39,1305.54,1289.43,1296.7,10270515
2019-12-23,1297.64,1309.73,1296.02,1302.4,13689602
2019-12-24,1284.38,1295.75,1280.84,1289.15,7114943
2019-12-26,1274.02,1281.03,1265.39,1270.45,11573497
