date,open,high,low,close,volume
2019-07-05,1793.86,1801.32,1782.51,1791.4,30869736
2019-07-08,1736.89,1771.31,1729.64,1753.55,12297294
2019-07-09,1744.77,1750.55,1730.88,1740.25,11447868
2019-07-10,1717.34,1729.1,1703.94,1718.6,7165538
2019-07-11,1741.72,1745.92,1714.74,1730.9,13444592
2019-07-12,1715.99,1725.4,1701.27,1713.2,10819975
2019-07-15,1707.26,1730.49,1700.65,1716.95,9690711
2019-07-16,1742.73,1756.37,1730.03,1741.3,12806879
2019-07-17,1751.83,1774.05,1748.02,1760.7,4033611
2019-07-18,1743.43,1749.99,1728.38,1739.15,9509800
2019-07-19,1719.69,1732.08,1707.22,1720.4,5496278
2019-07-22,1672.44,1692.36,1659.39,1680.7,10145541
2019-07-23,1707.71,1711.38,1682.08,1693.35,6962129
2019-07-24,1744.09,1750.58,1706.56,1728.65,7204207
2019-07-25,1751.34,1756.74,1717.5,1736.65,5133894
2019-07-26,1728.44,1748.99,1720.57,1730.65,17468820
2019-07-29,1715.66,1726.8,1691.66,1713.3,7125727
2019-07-30,1732.48,1738.21,1698.33,1719.9,7318941
2019-07-31,1726.8,1743.34,1706.03,1726.65,21496553
2019-08-01,1722.9,1740.91,1716.2,1731.3,13284046
2019-08-02,1749.76,1757.61,1725.65,1737.45,3615627
2019-08-05,1746.16,1750.49,1728.43,1741.2,19990660
2019-08-06,1748.2,1757.97,1729.0,1744.1,22794753
2019-08-07,1773.43,1791.97,1764.1,1777.25,21753466
2019-08-08,1794.72,1822.39,1785.37,1803.1,13966752
2019-08-09,1846.19,1862.67,1821.54,1841.35,5764567
2019-08-13,1829.05,1846.84,1812.21,1824.75,9756876
2019-08-14,1844.43,1856.11,1824.12,1839.05,4847012
2019-08-16,1814.37,1846.98,1806.75,1828.65,6485552
2019-08-19,1813.29,1831.26,1808.55,1820.9,5738177
2019-08-20,1841.14,1858.56,1829.98,1843.4,7308732
2019-08-21,1849.61,1866.65,1842.06,1850.0,10854307
2019-08-22,1875.0,1884.59,1860.89,1872.1,8005502
2019-08-23,1856.51,1868.04,1849.01,1860.0,7835417
2019-08-26,1879.7,1886.04,1868.07,1876.55,8646355
2019-08-27,1867.81,1873.42,1853.74,1861.4,21164419
2019-08-28,1819.98,1838.82,1813.71,1828.1,29502141
2019-08-29,1841.46,1845.38,1821.51,1832.95,7982383
2019-08-30,1889.25,1895.56,1872.21,1881.9,11829804
2019-09-03,1841.87,1856.71,1819.47,1841.85,6566271
2019-09-04,1853.08,1858.32,1828.0,1846.6,14678894
2019-09-05,1828.02,1852.82,1816.73,1829.75,7880253
2019-09-06,1815.21,1839.63,1796.22,1819.15,7007861
2019-09-09,1825.76,1852.93,1820.25,1834.05,27204400
2019-09-11,1825.74,1842.41,1811.25,1824.3,5076136
2019-09-12,1802.5,1819.6,1785.04,1805.4,2933427
2019-09-13,1812.32,1824.76,1794.2,1805.55,14439972
2019-09-16,1802.51,1836.82,1796.4,1816.3,8320903
2019-09-17,1815.52,1840.59,1811.91,1831.2,7239750
2019-09-18,1826.28,1839.45,1816.1,1829.2,39189724
2019-09-19,1809.99,1829.91,1803.3,1812.75,14406772
2019-09-20,1981.43,1995.16,1948.3,1969.75,9711667
2019-09-23,2060.51,2086.27,2015.69,2039.75,7018989
2019-09-24,2035.41,2090.09,2004.56,2050.45,12496880
2019-09-25,2027.9,2082.79,2019.21,2051.5,4204514
2019-09-26,2025.98,2066.74,2012.68,2034.4,7725560
2019-09-27,2024.13,2049.93,1975.51,2010.9,9816214
2019-09-30,2000.75,2006.17,1955.91,1981.95,11126515
2019-10-01,1989.26,2033.68,1964.14,1990.3,9312610
2019-10-03,1970.4,1981.49,1938.59,1962.05,7070841
2019-10-04,1971.48,1988.68,1905.3,1944.2,15845985
2019-10-07,1926.8,1963.46,1920.9,1940.05,4378728
2019-10-09,1974.63,1986.05,1917.68,1948.0,8702611
2019-10-10,1967.01,1989.14,1947.15,1968.75,7718498
2019-10-11,2027.44,2035.88,1970.22,2004.65,16585132
2019-10-14,2019.98,2050.43,1985.52,2014.25,7949774
2019-10-15,2055.72,2086.81,2043.14,2064.4,12446218
2019-10-16,2095.79,2103.72,2037.79,2071.0,11811911
2019-10-17,2086.47,2133.31,2066.91,2103.85,3994929
2019-10-18,2129.57,2141.76,2078.95,2106.85,9677091
2019-10-22,2103.56,2162.26,2085.18,2127.35,4183788
2019-10-23,2142.71,2158.35,2114.92,2133.25,11920119
2019-10-24,2126.88,2145.1,2113.19,2133.35,6940850
2019-10-25,2152.78,2156.36,2127.12,2145.1,18100143
2019-10-27,2127.11,2155.36,2117.8,2139.75,9135802
2019-10-29,2159.61,2182.23,2142.75,2160.2,6804314
2019-10-30,2177.29,2189.86,2157.47,2169.4,18219902
2019-10-31,2186.5,2190.41,2157.27,2175.35,6466532
2019-11-01,2174.21,2198.27,2161.65,2179.35,15641577
2019-11-04,2154.32,2175.0,2139.49,2158.15,12633467
2019-11-05,2172.5,2182.47,2163.68,2172.15,8330048
2019-11-06,2172.99,2188.49,2166.28,2179.45,5127387
2019-11-07,2144.09,2150.86,2123.35,2138.25,18604739
2019-11-08,2072.21,2100.2,2066.33,2086.4,12843233
2019-11-11,2085.78,2099.78,2058.12,2081.35,6797881
2019-11-13,2092.31,2109.0,2073.71,2091.0,11300962
2019-11-14,2061.64,2085.21,2051.84,2069.05,16538087
2019-11-15,2056.61,2068.95,2044.55,2057.7,10576076
2019-11-18,2066.46,2073.2,2044.63,2056.2,11265945
2019-11-19,2037.2,2050.9,2025.7,2037.75,16753161
2019-11-20,2022.36,2039.45,2018.15,2026.5,21568123
2019-11-21,2041.17,2068.29,2037.02,2048.65,9419532
2019-11-22,2033.89,2040.03,2017.91,2028.35,5123632
2019-11-25,2058.01,2076.7,2047.3,2062.4,5213737
2019-11-26,2071.05,2076.15,2043.24,2058.35,7078688
2019-11-27,2097.97,2115.07,2072.97,2093.25,6266007
2019-11-28,2083.22,2098.75,2070.57,2087.15,4311779
2019-11-29,2039.23,2056.52,2017.97,2035.3,25191272
2019-12-02,2046.84,2067.24,2029.05,2043.2,13021928
2019-12-03,2038.22,2045.15,2005.64,2028.45,7695889
2019-12-04,2048.51,2063.1,2035.75,2048.0,9838730
2019-12-05,2020.87,2057.98,2012.54,2037.45,4093439
2019-12-06,2026.83,2039.6,2009.37,2026.05,17836484
2019-12-09,2011.82,2021.91,1996.79,2008.15,3772658
2019-12-10,2036.1,2046.04,2011.48,2025.35,12904795
2019-12-11,2023.11,2027.13,2000.92,2010.45,3988335
