date,open,high,low,close,volume
2019-07-05,436.36,438.99,432.26,436.35,22837514
2019-07-08,422.49,429.5,420.15,425.9,9416364
2019-07-09,425.86,434.61,423.15,428.5,6306450
2019-07-10,432.71,434.79,424.57,430.9,6991339
2019-07-11,425.5,430.49,421.64,426.55,10654372
2019-07-12,426.89,429.68,422.26,427.05,14574168
2019-07-15,422.95,426.65,419.21,422.3,5127774
2019-07-16,425.93,428.23,421.0,424.6,25189194
2019-07-17,424.94,429.0,421.15,424.7,11668848
2019-07-18,417.86,421.86,415.89,418.65,12626693
2019-07-19,409.92,414.83,406.77,410.3,9525670
2019-07-22,414.35,415.82,408.9,411.5,10096759
2019-07-23,412.36,415.34,409.67,411.95,9285402
2019-07-24,407.61,412.62,405.75,408.5,16634570
2019-07-25,410.64,411.57,405.44,409.0,9960435
2019-07-26,416.78,418.74,411.29,415.75,14674483
2019-07-29,426.16,432.11,425.16,429.35,8049913
2019-07-30,428.93,429.86,420.66,425.35,11027645
2019-07-31,426.8,429.41,421.81,424.6,6690073
2019-08-01,414.02,422.02,411.66,417.05,18372393
2019-08-02,408.38,413.56,406.27,410.6,6591042
2019-08-05,403.44,406.4,397.85,402.65,8500248
2019-08-06,411.07,413.38,405.03,410.25,8542937
2019-08-07,407.39,413.11,405.04,408.4,8378001
2019-08-08,412.27,417.56,409.94,414.4,14351191
2019-08-09,418.16,426.16,413.93,420.15,8535690
2019-08-13,411.05,413.91,407.12,410.25,20076447
2019-08-14,413.99,421.38,411.69,417.3,6641564
2019-08-16,414.6,425.26,412.2,418.95,10883782
2019-08-19,424.99,428.17,419.26,423.4,6784849
2019-08-20,417.33,419.85,410.76,416.9,12342782
2019-08-21,411.22,416.81,405.61,412.05,9920568
2019-08-22,396.71,402.51,392.99,399.1,9253983
2019-08-23,396.33,402.42,391.43,395.4,18116490
2019-08-26,411.22,418.09,406.44,411.65,7209604
2019-08-27,422.37,423.53,414.75,418.6,13407881
2019-08-28,415.14,418.87,405.82,412.95,6808045
2019-08-29,400.09,408.14,397.17,404.4,10579600
2019-08-30,408.77,416.87,403.21,409.65,5500271
2019-09-03,394.04,400.38,386.74,392.15,7180194
2019-09-04,400.6,405.62,393.37,397.5,9597604
2019-09-05,387.67,394.37,381.61,389.0,24776848
2019-09-06,393.44,396.55,384.21,391.35,10516937
2019-09-09,395.87,399.32,387.25,395.45,22872132
2019-09-11,394.47,401.38,387.44,394.6,11164585
2019-09-12,406.04,409.15,394.78,402.7,8240351
2019-09-13,415.49,419.71,405.6,413.4,21590714
2019-09-16,416.32,420.62,405.1,412.15,12442199
2019-09-17,403.94,405.4,394.56,400.65,7251615
2019-09-18,394.77,403.23,390.91,399.35,12652702
2019-09-19,382.99,390.83,379.4,386.6,8639007
2019-09-20,421.58,424.44,409.32,417.5,3699020
2019-09-23,449.01,452.79,439.39,446.3,15967759
2019-09-24,448.19,451.18,432.36,440.9,17288682
2019-09-25,426.8,442.58,424.01,434.2,25067096
2019-09-26,453.24,459.83,443.27,451.95,12350010
2019-09-27,445.53,461.75,441.07,449.2,8830603
2019-09-30,432.42,441.6,423.13,433.7,15181533
2019-10-01,421.4,436.39,417.06,424.6,15294530
2019-10-03,419.41,435.86,415.23,427.3,22685493
2019-10-04,406.43,423.71,404.3,413.9,9779333
2019-10-07,419.9,429.06,405.91,416.1,9205449
2019-10-09,434.62,443.39,429.08,436.7,6992323
2019-10-10,418.22,434.3,414.59,423.7,13083032
2019-10-11,427.09,442.32,418.59,428.55,4611043
2019-10-14,421.36,440.27,415.55,428.85,14740941
2019-10-15,437.39,440.56,418.96,431.85,13416732
2019-10-16,433.43,445.11,426.98,435.3,13398197
2019-10-17,437.73,452.68,429.06,440.6,10715568
2019-10-18,446.54,451.59,429.45,437.8,21521968
2019-10-22,449.67,457.84,436.45,451.15,15465037
2019-10-23,454.99,461.09,442.7,455.1,7382013
2019-10-24,455.6,461.28,446.77,454.75,7448372
2019-10-25,473.22,475.47,459.71,469.1,6441414
2019-10-27,464.01,476.02,459.66,469.55,13173757
2019-10-29,481.69,483.3,468.46,477.4,6064885
2019-10-30,473.47,476.88,462.37,471.15,17189198
2019-10-31,461.76,467.97,453.5,463.05,19376708
2019-11-01,465.27,471.28,455.03,462.25,6443532
2019-11-04,470.64,475.44,462.85,470.5,9113992
2019-11-05,462.25,473.11,460.38,468.35,10083451
2019-11-06,476.71,485.95,473.22,480.7,15558026
2019-11-07,484.25,486.11,471.89,478.55,22359622
2019-11-08,490.79,495.56,485.46,489.45,4305265
2019-11-11,496.59,503.17,492.16,496.8,8529192
2019-11-13,487.3,489.58,481.73,485.75,8754577
2019-11-14,499.71,506.25,492.64,498.65,4964190
2019-11-15,495.31,505.42,494.05,499.85,7846205
2019-11-18,499.1,503.24,489.92,498.35,12384795
2019-11-19,495.82,499.9,486.93,493.5,8699326
2019-11-20,491.31,502.14,488.03,495.0,4619444
2019-11-21,503.61,505.22,493.3,498.25,42082267
2019-11-22,493.68,504.28,489.58,496.8,11423515
2019-11-25,498.03,504.8,492.11,497.8,10574359
2019-11-26,506.24,515.19,504.12,510.7,5775483
2019-11-27,506.62,510.79,500.79,505.5,11392305
2019-11-28,516.9,522.79,512.97,519.15,9211734
2019-11-29,511.54,520.09,506.24,512.6,3889666
2019-12-02,512.6,515.06,504.75,510.9,5855944
2019-12-03,503.42,516.63,501.83,509.35,14880447
2019-12-04,531.16,534.9,520.62,529.25,26432489
2019-12-05,527.4,533.73,519.43,528.1,12015143
2019-12-06,527.53,528.76,517.68,524.8,17359271
2019-12-09,525.9,531.73,518.13,526.5,9250775
2019-12-10,523.33,536.58,521.09,528.7,9576498
2019-12-11,530.12,537.01,528.99,533.55,17254528
2019-12-12,538.29,540.18,530.43,535.35,22965055
2019-12-13,538.64,540.32,532.91,537.05,19165914
2019-12-16,539.05,543.93,536.1,539.25,5867352
2019-12-17,541.83,544.89,537.35,541.15,9670747
2019-12-18,541.85,545.48,538.33,541.4,11488510
2019-12-19,545.25,546.85,534.2,540.2,8782368
2019-12-20,549.63,550.99,541.26,546.1,12140098
2019-12-23,544.61,545.6,536.84,541.3,15072524
2019-12-24,544.0,546.29,535.24,541.1,16510391
2019-12-26,540.5,542.11,532.79,538.75,23231756
2019-12-27,545.86,553.06,543.14,549.4,8481306
2019-12-30,546.29,548.52,539.04,543.95,5055963
2019-12-31,539.82,542.44,534.56,538.9,11961610
2020-01-01,540.71,541.86,532.98,536.75,25648641
2020-01-02,541.23,543.58,538.27,540.6,7878181
2020-01-03,537.54,542.5,536.54,538.85,14097656
2020-01-06,527.14,530.68,522.3,525.7,14160522
2020-01-07,522.76,525.44,517.8,522.9,11004520
2020-01-08,525.23,529.16,523.73,525.95,10034683
2020-01-09,545.85,550.71,542.4,546.3,6302021
2020-01-10,540.78,544.01,536.34,540.25,3195533
2020-01-13,537.53,545.09,532.5,538.6,5735412
2020-01-14,537.36,543.85,533.04,537.6,8227095
2020-01-15,532.7,540.69,530.62,535.6,17310208
2020-01-16,541.15,542.48,533.43,537.15,9497428
2020-01-17,532.97,535.41,527.25,532.05,7714272
2020-01-20,532.24,540.21,531.34,534.85,6405086
2020-01-21,534.01,537.31,525.84,531.05,13887484
2020-01-22,525.56,528.32,519.35,522.85,19722570
2020-01-23,522.35,532.0,521.18,527.7,17018533
2020-01-24,532.88,539.67,528.44,533.85,13540158
2020-01-27,537.41,541.83,531.18,537.25,4781616
2020-01-28,528.08,533.6,523.33,528.2,8387545
2020-01-29,529.01,531.74,521.9,526.6,26475961
2020-01-30,532.3,537.0,528.6,532.2,17523806
2020-01-31,522.83,531.92,520.22,525.65,4635914
2020-02-03,520.77,522.16,510.43,515.55,9725874
2020-02-04,527.82,534.33,525.11,530.8,11990735
2020-02-05,542.25,547.26,531.87,539.1,6831237
2020-02-06,537.71,546.65,535.27,541.6,3151829
2020-02-07,534.76,542.17,530.54,536.45,10506531
2020-02-10,534.89,540.26,530.44,533.95,6744355
2020-02-11,536.85,544.68,534.19,539.75,6757575
2020-02-12,550.51,556.12,545.73,549.3,8374948
2020-02-13,537.0,545.08,534.65,541.0,9353467
2020-02-14,545.73,549.81,540.81,545.8,9954688
2020-02-17,544.08,547.81,537.71,541.6,6427528
2020-02-18,536.27,548.28,534.15,541.2,8957402
2020-02-19,549.16,551.74,539.03,544.8,4153176
2020-02-20,544.96,552.87,542.35,547.0,11682647
2020-02-24,528.9,535.79,526.22,529.85,2397550
2020-02-25,531.89,535.97,524.98,530.95,8652428
2020-02-26,523.44,531.52,516.13,523.7,15834295
2020-02-27,514.71,520.25,509.19,515.35,5887990
2020-02-28,492.01,504.57,488.82,497.25,14307733
2020-03-02,509.84,512.69,501.55,506.1,17822317
2020-03-03,516.16,521.84,507.87,514.75,1912928
2020-03-04,503.64,513.8,500.97,508.35,9271114
2020-03-05,504.12,512.33,498.67,504.5,2374289
2020-03-06,490.13,492.78,482.26,486.35,9426085
2020-03-09,459.7,467.37,450.15,457.75,9964208
2020-03-11,459.85,470.2,457.47,465.65,2890163
2020-03-12,423.05,435.09,415.09,425.65,26180222
2020-03-13,442.0,459.21,434.83,447.2,11537389
2020-03-16,403.16,416.3,389.27,402.9,6540890
2020-03-17,375.85,382.01,354.65,367.25,20806694
2020-03-18,353.38,361.55,346.72,355.05,4074624
2020-03-19,336.05,344.74,329.03,338.55,5408650
2020-03-20,352.03,356.16,332.64,345.7,3167229
2020-03-23,281.03,291.45,267.71,284.0,24608888
2020-03-24,302.58,314.49,287.85,296.5,11807775
2020-03-25,309.97,328.38,301.72,316.9,13905521
2020-03-26,333.76,345.72,316.81,330.25,11624160
2020-03-27,340.2,350.58,326.94,339.85,13322695
2020-03-30,310.9,329.24,297.76,313.4,10398108
2020-03-31,334.94,338.41,306.16,323.75,11450641
2020-04-01,317.23,320.97,301.76,311.15,10552753
2020-04-03,290.12,299.22,268.93,286.65,7376425
2020-04-07,324.12,343.06,302.77,326.1,9769572
2020-04-08,317.6,344.21,294.04,318.95,11465956
2020-04-09,335.29,358.06,327.78,342.7,10568307
2020-04-13,323.94,350.62,309.91,330.65,4776456
2020-04-15,341.05,353.24,309.82,327.35,5104343
2020-04-16,344.04,365.93,325.17,342.0,17184465
2020-04-17,395.25,405.43,353.0,375.55,8577033
2020-04-20,348.17,388.73,336.84,361.3,13395887
2020-04-21,335.57,350.54,320.2,331.85,5792275
2020-04-22,339.52,357.83,309.94,335.95,4787518
2020-04-23,347.86,366.75,327.93,352.95,6558663
2020-04-24,343.29,349.56,316.31,334.85,8946859
2020-04-27,363.6,367.86,328.56,347.9,7170783
2020-04-28,351.06,376.14,345.07,359.85,19097393
2020-04-29,358.5,389.76,350.49,370.45,10939135
2020-04-30,371.99,400.53,364.66,380.15,25205302
2020-05-04,338.84,350.87,316.99,338.05,12240977
2020-05-05,331.96,351.13,319.28,330.85,2993100
2020-05-06,347.85,356.87,328.07,341.4,16955731
2020-05-07,332.66,348.24,321.18,336.75,4701159
2020-05-08,343.46,354.7,326.45,337.7,11221728
2020-05-11,325.28,332.07,308.16,320.15,6788588
2020-05-12,323.48,335.78,309.12,321.2,29193340
2020-05-13,337.4,351.53,321.36,338.05,20540202
2020-05-14,318.64,338.9,314.47,327.4,6901058
2020-05-15,323.02,338.02,311.77,322.7,9383063
2020-05-18,300.68,309.97,289.92,298.5,11300919
2020-05-19,299.62,310.1,290.34,300.3,15398839
2020-05-20,309.56,312.67,295.31,305.65,10146827
2020-05-21,313.28,317.73,292.28,304.4,5990276
2020-05-22,293.95,296.99,284.47,291.05,6985284
2020-05-26,293.16,304.65,285.5,292.7,9977616
2020-05-27,322.19,328.62,308.91,318.85,18537831
2020-05-28,326.23,339.29,316.91,326.85,12385222
2020-05-29,328.92,347.01,321.67,331.95,6792897
2020-06-01,333.49,347.52,325.09,339.25,13829050
2020-06-02,342.98,358.61,340.07,348.4,8240760
2020-06-03,354.94,368.85,346.93,356.85,15608085
2020-06-04,347.67,359.48,337.25,347.85,35378005
2020-06-05,364.93,367.37,349.37,357.2,8357605
2020-06-08,356.01,370.85,348.0,359.8,14930224
2020-06-09,356.09,359.83,338.84,348.55,6888741
2020-06-10,349.91,365.08,343.92,353.0,9454144
2020-06-11,335.63,352.11,330.05,341.25,10148909
2020-06-12,344.82,352.01,337.17,344.2,9076995
2020-06-15,334.77,343.35,319.64,331.1,34263886
2020-06-16,336.8,350.43,334.67,342.95,8578752
2020-06-17,337.09,346.84,333.36,341.95,13410136
2020-06-18,349.68,359.31,341.32,352.0,3809666
2020-06-19,359.16,369.84,353.02,363.8,12411002
2020-06-22,368.43,373.1,358.95,367.55,17700845
2020-06-23,374.76,382.89,366.34,376.15,7681281
2020-06-24,343.49,353.17,340.63,348.1,2850441
2020-06-25,356.87,360.04,342.84,351.0,9808596
2020-06-26,347.44,354.24,344.03,349.1,10086289
2020-06-29,345.47,348.93,337.96,343.1,14362528
2020-06-30,352.54,356.71,341.59,351.45,27331410
2020-07-01,368.02,369.41,358.71,364.05,8269369
2020-07-02,363.15,369.4,356.93,362.85,6517175
2020-07-03,361.97,369.31,351.28,361.0,5579650
2020-07-06,362.83,372.64,357.12,361.85,11041096
2020-07-07,380.5,386.75,369.26,376.05,12708387
2020-07-08,369.33,379.57,360.23,368.95,7612239
2020-07-09,368.32,376.17,361.9,370.35,14760083
2020-07-10,363.28,366.73,350.74,360.35,12619927
2020-07-13,347.89,358.5,346.16,353.6,10218511
2020-07-14,351.16,354.25,338.38,345.55,6368587
2020-07-15,347.62,350.47,337.4,345.8,7858949
2020-07-16,344.88,351.85,337.77,344.65,2967463
2020-07-17,352.69,359.35,346.24,353.8,11251243
2020-07-20,359.39,368.8,353.38,363.0,10132577
2020-07-21,387.96,389.89,371.46,378.8,10988228
2020-07-22,378.01,388.41,375.59,381.1,12868012
2020-07-23,395.27,400.43,388.37,392.25,12127745
2020-07-24,383.75,388.76,374.62,381.8,9463038
2020-07-27,365.82,367.96,353.95,358.5,10246325
2020-07-28,355.89,360.06,344.95,352.1,4955147
2020-07-29,353.46,360.23,342.64,351.05,7468728
2020-07-30,340.39,350.49,337.97,344.95,10255566
2020-07-31,346.39,354.07,341.29,346.8,6921678
2020-08-03,338.39,350.97,335.02,343.25,15373734
2020-08-04,354.78,356.99,345.65,351.0,7194156
2020-08-05,355.83,360.7,344.47,352.2,11142178
2020-08-06,363.19,368.09,351.41,358.75,10600147
2020-08-07,360.17,364.45,353.14,357.95,14522858
2020-08-10,362.27,369.56,354.82,363.55,15689327
2020-08-11,364.9,373.69,362.42,367.35,14148397
2020-08-12,364.13,375.16,357.83,366.85,3488884
2020-08-13,366.46,375.29,364.12,368.05,18167952
2020-08-14,362.49,365.42,356.27,361.4,21461040
2020-08-17,358.06,366.51,355.56,360.2,7857927
2020-08-18,370.72,373.15,365.96,369.55,11256081
