date,open,high,low,close,volume
2019-07-05,713.96,722.69,710.8,718.0,6821079
2019-07-08,717.54,717.86,717.34,717.6,12376122
2019-07-09,715.4,716.14,714.55,715.5,18145910
2019-07-10,716.96,718.66,716.1,717.25,14232558
2019-07-11,720.96,723.97,719.53,721.5,15939060
2019-07-12,727.5,728.06,725.3,726.75,10897631
2019-07-15,766.95,793.77,759.56,779.35,6262064
2019-07-16,785.33,800.67,770.21,784.85,6670953
2019-07-17,806.39,809.7,785.68,794.15,11734451
2019-07-18,791.55,802.21,775.55,792.7,16022066
2019-07-19,792.98,802.67,772.97,785.4,40267353
2019-07-22,781.6,797.56,768.8,784.4,16338038
2019-07-23,777.84,798.55,775.12,790.05,5569844
2019-07-24,785.18,793.25,772.18,786.3,6813792
2019-07-25,799.85,807.98,787.37,794.5,31244512
2019-07-26,781.37,794.16,778.4,787.0,8983509
2019-07-29,787.72,798.94,777.79,791.45,10240417
2019-07-30,799.45,803.53,779.21,792.7,6186544
2019-07-31,789.41,804.44,784.02,793.65,21870458
2019-08-01,769.2,780.96,758.82,768.85,12842393
2019-08-02,775.98,785.33,767.72,775.6,6788869
2019-08-05,782.74,789.68,762.07,776.7,6084061
2019-08-06,783.61,789.09,766.27,774.45,11660266
2019-08-07,779.9,784.79,768.09,776.1,10223491
2019-08-08,786.24,801.45,776.42,788.75,15159694
2019-08-09,784.85,804.55,781.16,789.85,13145366
2019-08-13,761.87,773.0,755.06,764.75,8761305
2019-08-14,778.66,783.3,770.28,774.8,7619298
2019-08-16,776.8,780.18,770.18,774.55,9231430
2019-08-19,783.24,785.14,770.33,777.65,7593135
2019-08-20,792.39,800.94,785.03,792.75,9369758
2019-08-21,802.74,808.65,793.66,799.45,10082543
2019-08-22,797.87,806.7,787.86,795.7,6382881
2019-08-23,797.53,807.2,794.79,802.2,13707251
2019-08-26,799.48,807.68,792.23,802.55,8309265
2019-08-27,785.25,790.06,779.69,784.65,6564280
2019-08-28,809.91,813.1,790.24,802.5,8387826
2019-08-29,803.47,813.29,797.11,806.95,11287706
2019-08-30,822.99,824.91,808.32,814.9,10423930
2019-09-03,815.51,820.95,809.29,814.25,12349852
2019-09-04,817.82,828.89,813.21,821.3,15670158
2019-09-05,830.85,840.36,827.62,834.05,19202782
2019-09-06,837.0,850.73,833.27,840.15,11534334
2019-09-09,829.65,838.1,822.39,829.1,5858443
2019-09-11,813.19,831.39,810.77,820.1,8741044
2019-09-12,815.7,825.24,807.7,816.4,6052224
2019-09-13,833.19,834.24,824.62,829.3,23359695
2019-09-16,828.38,832.84,820.58,827.7,27012116
2019-09-17,835.61,840.97,822.64,831.25,13842460
2019-09-18,827.72,838.13,825.19,829.85,15360734
2019-09-19,818.13,825.04,811.79,820.7,11336829
2019-09-20,802.63,813.33,797.39,805.0,12008479
2019-09-23,769.18,773.22,751.37,764.35,4499012
2019-09-24,790.29,803.52,786.0,794.05,9637087
2019-09-25,788.11,800.74,777.05,792.65,6436652
2019-09-26,785.2,796.23,770.55,782.55,11510542
2019-09-27,780.32,788.9,771.35,782.2,9706348
2019-09-30,810.16,815.1,794.15,805.65,26469578
2019-10-01,791.28,803.08,786.57,793.55,15814052
2019-10-03,779.81,793.78,770.43,785.6,11528717
2019-10-04,798.46,804.88,780.78,793.45,8750538
2019-10-07,789.51,796.28,782.11,789.55,23117636
2019-10-09,783.63,792.81,776.93,783.65,9851342
2019-10-10,778.78,797.6,776.13,783.05,11803806
2019-10-11,818.23,825.47,801.12,814.8,10213495
2019-10-14,794.51,797.66,771.91,786.1,8170320
2019-10-15,770.59,780.78,755.55,768.3,10184207
2019-10-16,779.7,784.93,760.59,771.45,3749421
2019-10-17,771.31,785.42,756.41,769.5,4612324
2019-10-18,761.36,777.44,754.94,767.85,11910261
2019-10-22,634.9,671.45,630.31,643.55,21904343
2019-10-23,660.21,676.97,632.54,650.6,11901871
2019-10-24,640.74,659.98,621.92,635.35,6975476
2019-10-25,639.97,651.08,610.58,637.45,4860582
2019-10-27,648.82,661.77,624.15,648.85,14803279
2019-10-29,667.56,673.26,621.27,650.65,7530696
2019-10-30,665.81,688.36,642.5,660.6,13793573
2019-10-31,679.84,709.64,656.26,685.6,12152290
2019-11-01,677.22,705.33,663.42,687.9,12701692
2019-11-04,704.84,724.95,686.17,709.0,10169427
2019-11-05,713.98,723.07,678.0,696.1,12114550
2019-11-06,691.28,740.63,683.65,712.3,9420214
2019-11-07,732.19,738.11,687.81,720.1,7278551
2019-11-08,719.54,723.11,689.2,708.15,6177017
