date,open,high,low,close,volume
2019-07-05,280.48,281.84,276.65,279.45,18677031
2019-07-08,277.8,278.49,276.81,277.45,11317721
2019-07-09,273.35,274.37,270.85,273.1,6707847
2019-07-10,273.25,275.17,271.63,273.15,9162337
2019-07-11,275.16,277.63,273.53,275.65,7123520
2019-07-12,276.08,276.9,273.52,275.05,7786633
2019-07-15,272.47,273.48,268.62,270.95,5332036
2019-07-16,270.99,274.43,270.08,271.95,6156908
2019-07-17,272.98,274.76,270.93,272.9,15640721
2019-07-18,273.02,274.04,271.15,273.0,11806176
2019-07-19,267.24,269.94,266.7,268.3,7776283
2019-07-22,266.26,266.82,263.21,264.4,5980888
2019-07-23,270.24,272.61,267.71,270.65,8165243
2019-07-24,272.09,274.04,268.96,270.85,4308803
2019-07-25,266.06,269.33,265.01,267.85,10653626
2019-07-26,269.45,272.77,267.95,270.4,16043773
2019-07-29,266.63,269.97,265.81,267.75,32657398
2019-07-30,267.84,270.64,266.58,268.9,5760105
2019-07-31,270.43,273.1,267.82,270.2,15712967
2019-08-01,268.74,269.84,265.12,267.55,7021517
2019-08-02,264.12,266.15,261.86,264.5,5687990
2019-08-05,259.27,261.76,258.23,259.8,5686733
2019-08-06,256.8,261.34,256.09,258.9,10729027
2019-08-07,253.92,255.46,251.64,253.65,6278859
2019-08-08,257.39,260.75,254.79,257.75,7382868
2019-08-09,255.5,255.89,252.41,254.2,8023577
2019-08-13,247.33,248.31,244.76,246.3,6907454
2019-08-14,249.43,250.58,246.05,248.75,6661154
2019-08-16,251.11,254.87,250.65,253.0,2968346
2019-08-19,252.15,253.83,247.79,251.55,10444356
2019-08-20,246.09,250.26,244.66,246.5,10344146
2019-08-21,241.74,243.26,239.74,241.45,6712105
2019-08-22,240.07,241.89,238.53,240.05,11974474
2019-08-23,236.37,238.04,234.27,236.1,20106413
2019-08-26,240.78,245.55,239.54,242.5,10118596
2019-08-27,245.55,248.9,242.64,245.5,19447411
2019-08-28,244.21,249.38,243.44,245.95,30619928
2019-08-29,239.78,242.92,239.3,241.2,35440223
2019-08-30,246.88,249.04,243.27,245.65,5520492
2019-09-03,244.1,244.87,239.3,241.55,5534789
2019-09-04,244.47,246.35,239.59,243.25,8007431
2019-09-05,243.61,246.98,240.55,244.25,10664737
2019-09-06,241.29,247.64,240.21,243.9,22107371
2019-09-09,242.33,248.1,241.42,245.5,13683704
2019-09-11,241.37,245.99,240.02,243.75,5479103
2019-09-12,242.51,243.13,237.95,240.75,7365127
2019-09-13,239.54,242.3,237.55,239.9,9792188
2019-09-16,240.13,241.3,236.11,239.4,4749337
2019-09-17,238.03,239.73,234.66,237.2,10068576
2019-09-18,240.25,242.38,237.25,239.25,5519941
2019-09-19,238.46,239.15,234.3,236.7,4380770
2019-09-20,236.48,240.13,235.03,238.05,6228231
2019-09-23,254.43,259.47,250.07,254.85,12281519
2019-09-24,258.83,260.37,252.99,256.0,12239188
2019-09-25,247.03,250.86,242.5,247.55,10495137
2019-09-26,247.96,254.46,245.21,250.4,16418223
2019-09-27,251.97,257.45,249.97,252.95,15570478
2019-09-30,260.51,262.98,254.67,259.85,11075946
