date,open,high,low,close,volume
2019-07-05,1509.59,1527.46,1507.56,1517.2,4058100
2019-07-08,1465.17,1492.74,1447.05,1475.3,8085715
2019-07-09,1475.59,1479.84,1449.14,1462.85,3532460
2019-07-10,1483.05,1493.79,1463.91,1475.85,9901432
2019-07-11,1496.43,1501.41,1471.15,1484.95,8000924
2019-07-12,1478.43,1499.57,1471.0,1483.65,4426670
2019-07-15,1504.15,1519.69,1489.04,1508.1,16574347
2019-07-16,1493.53,1514.92,1490.4,1501.45,14120465
2019-07-17,1538.75,1549.12,1520.19,1534.6,16734467
2019-07-18,1549.48,1557.65,1527.69,1538.25,4707950
2019-07-19,1499.83,1509.85,1476.63,1498.9,6054186
2019-07-22,1438.73,1469.6,1432.43,1454.3,18240144
2019-07-23,1488.47,1521.42,1474.48,1494.0,14996839
2019-07-24,1500.58,1513.84,1478.5,1497.2,20173238
2019-07-25,1490.68,1498.79,1471.09,1485.05,8869442
2019-07-26,1507.31,1535.38,1494.14,1511.85,9467954
2019-07-29,1493.25,1514.53,1477.52,1502.5,13607867
2019-07-30,1497.21,1515.87,1485.73,1498.7,5088700
2019-07-31,1502.03,1543.15,1497.28,1519.55,11028568
2019-08-01,1504.56,1520.4,1484.29,1495.8,35520498
2019-08-02,1511.23,1522.24,1492.04,1507.6,8361735
2019-08-05,1449.23,1475.3,1436.9,1460.1,4485579
2019-08-06,1491.91,1505.16,1467.28,1485.3,12281993
2019-08-07,1465.27,1490.89,1454.59,1476.3,6372584
2019-08-08,1507.83,1516.79,1489.45,1502.75,9479137
2019-08-09,1528.53,1551.32,1508.67,1532.1,17225131
2019-08-13,1516.84,1524.63,1486.16,1511.4,13218802
2019-08-14,1494.36,1518.23,1466.8,1491.8,7832839
2019-08-16,1489.25,1515.76,1480.52,1498.95,15208146
2019-08-19,1502.87,1513.14,1470.78,1496.35,4343237
2019-08-20,1516.05,1527.75,1485.63,1505.1,11035734
2019-08-21,1490.92,1520.17,1485.04,1505.75,8253079
2019-08-22,1470.54,1497.03,1466.28,1478.25,3073256
2019-08-23,1463.21,1481.73,1458.31,1470.2,5458799
2019-08-26,1521.96,1530.65,1491.8,1512.8,9927194
2019-08-27,1496.73,1522.0,1482.74,1501.55,14525984
