date,open,high,low,close,volume
2019-07-05,1560.35,1568.11,1544.57,1558.35,11165786
2019-07-08,1492.98,1519.62,1458.05,1490.35,13186859
2019-07-09,1503.12,1581.67,1490.3,1526.6,8631363
2019-07-10,1487.75,1538.65,1469.98,1499.55,6916697
2019-07-11,1489.16,1529.88,1474.74,1495.2,3667036
2019-07-12,1448.51,1487.68,1436.36,1466.85,14700947
2019-07-15,1442.63,1454.38,1422.88,1440.6,10401684
2019-07-16,1470.91,1476.52,1440.83,1461.2,9156801
2019-07-17,1464.55,1478.52,1430.29,1455.45,17967117
2019-07-18,1437.03,1452.34,1422.79,1435.2,5250506
2019-07-19,1404.14,1426.25,1387.91,1411.55,10285189
2019-07-22,1394.12,1415.54,1379.28,1403.7,6175289
2019-07-23,1418.36,1433.15,1397.84,1409.5,13881930
2019-07-24,1383.2,1406.08,1368.73,1387.35,3285485
2019-07-25,1364.56,1383.75,1357.06,1372.4,14948230
2019-07-26,1399.57,1413.1,1380.7,1392.15,14642308
2019-07-29,1368.58,1391.49,1352.49,1371.5,6303335
2019-07-30,1362.0,1389.97,1358.5,1376.35,10337261
2019-07-31,1372.61,1399.63,1369.0,1387.3,6371426
2019-08-01,1350.8,1378.1,1338.0,1358.05,12383727
2019-08-02,1370.81,1384.51,1356.55,1370.25,15069904
2019-08-05,1342.85,1363.42,1330.06,1345.8,6050223
2019-08-06,1363.81,1386.4,1360.75,1377.5,5228951
2019-08-07,1356.62,1373.68,1350.03,1360.05,17301681
2019-08-08,1347.07,1370.83,1341.95,1360.65,26394888
2019-08-09,1376.03,1379.82,1352.94,1364.6,12804653
2019-08-13,1309.27,1333.77,1296.06,1313.25,13287262
2019-08-14,1319.23,1347.65,1315.65,1333.7,8470290
2019-08-16,1336.07,1345.5,1320.13,1335.25,10941896
2019-08-19,1348.2,1365.47,1341.28,1352.2,11916759
2019-08-20,1347.95,1362.36,1330.09,1342.5,9127561
2019-08-21,1305.29,1329.44,1298.45,1310.65,19638960
2019-08-22,1303.18,1306.29,1278.7,1294.25,10923948
2019-08-23,1302.92,1306.96,1274.35,1286.5,11650919
2019-08-26,1338.93,1353.2,1315.18,1333.65,9222107
2019-08-27,1360.81,1370.37,1341.77,1356.95,9702809
2019-08-28,1346.98,1363.61,1333.88,1344.65,18392449
2019-08-29,1355.3,1359.61,1326.54,1342.45,10756799
2019-08-30,1327.23,1350.41,1309.09,1328.25,10883333
2019-09-03,1283.77,1309.7,1273.1,1294.4,10953796
2019-09-04,1303.57,1331.08,1297.02,1308.05,8333877
2019-09-05,1315.73,1342.37,1306.05,1320.3,4946177
2019-09-06,1329.02,1347.97,1305.12,1328.65,21952305
2019-09-09,1351.09,1371.4,1342.55,1357.0,17059924
2019-09-11,1370.8,1388.39,1341.69,1363.65,18673528
2019-09-12,1359.22,1381.05,1344.32,1362.4,5849321
2019-09-13,1377.95,1383.9,1352.69,1363.45,20594935
2019-09-16,1342.34,1355.4,1326.58,1343.6,26736254
2019-09-17,1318.07,1335.55,1292.07,1313.7,16860882
2019-09-18,1319.36,1337.46,1297.66,1318.0,22793976
2019-09-19,1314.31,1321.77,1282.84,1300.7,14902208
2019-09-20,1392.89,1430.82,1386.16,1411.5,6548796
2019-09-23,1509.4,1559.68,1500.26,1528.5,12889345
2019-09-24,1486.25,1503.89,1451.79,1481.3,6003926
2019-09-25,1458.41,1473.11,1421.66,1450.1,7417915
2019-09-26,1477.39,1517.69,1444.83,1489.85,11713304
2019-09-27,1474.13,1518.03,1447.01,1472.65,10952791
2019-09-30,1466.04,1512.06,1444.15,1474.25,12605368
2019-10-01,1449.89,1492.18,1432.83,1464.05,4081810
2019-10-03,1489.22,1501.73,1428.35,1458.05,9257797
2019-10-04,1424.9,1463.07,1405.58,1424.9,13158715
2019-10-07,1414.04,1440.08,1371.83,1397.85,14538087
2019-10-09,1449.48,1470.21,1393.53,1426.25,15021335
2019-10-10,1395.08,1464.05,1385.89,1425.1,11338615
2019-10-11,1401.04,1453.52,1393.4,1427.7,8272799
2019-10-14,1421.91,1469.26,1394.51,1423.95,12849700
2019-10-15,1438.01,1460.31,1395.32,1432.25,8608314
2019-10-16,1410.28,1460.85,1387.7,1424.2,15691407
2019-10-17,1405.75,1464.67,1399.12,1424.35,12381941
2019-10-18,1440.94,1471.68,1425.77,1447.8,9696102
2019-10-22,1415.71,1477.23,1402.92,1442.55,6807926
