date,open,high,low,close,volume
2019-07-05,6379.73,6425.84,6327.83,6360.0,22470002
2019-07-08,6094.07,6154.48,5860.54,6038.7,16913471
2019-07-09,5960.28,6046.33,5798.51,5945.45,16651911
2019-07-10,5972.43,6057.53,5852.03,5927.9,26651392
2019-07-11,6056.84,6139.64,5907.57,6031.2,16455741
2019-07-12,5962.67,6089.3,5874.11,5971.45,5410590
2019-07-15,6130.51,6156.03,5962.39,6079.7,13088663
2019-07-16,6091.06,6281.87,6058.41,6158.05,22514604
2019-07-17,6020.15,6188.42,5996.48,6075.7,4680816
2019-07-18,5882.98,5987.07,5803.66,5882.35,9923443
2019-07-19,5701.46,5881.14,5649.7,5769.1,5862988
2019-07-22,5948.7,6042.83,5840.03,5912.5,10663428
2019-07-23,5827.34,5993.85,5807.35,5873.75,17640596
2019-07-24,5765.07,5831.72,5706.5,5768.0,19569128
2019-07-25,5753.58,5861.32,5699.08,5756.75,9120199
2019-07-26,5788.29,5888.95,5752.57,5805.65,13919336
2019-07-29,5561.14,5638.34,5496.5,5561.25,4714078
2019-07-30,5580.49,5618.53,5442.72,5507.15,4171848
2019-07-31,5498.37,5556.1,5402.43,5469.7,17503183
2019-08-01,5545.96,5658.15,5512.84,5572.6,2201967
2019-08-02,5714.31,5800.98,5627.95,5689.35,7091679
2019-08-05,5726.56,5751.57,5589.87,5670.35,14027764
2019-08-06,5827.89,5942.21,5733.83,5833.3,11166249
2019-08-07,5753.68,5832.49,5681.96,5775.0,2421701
2019-08-08,5979.71,6008.75,5811.06,5902.25,13006043
2019-08-09,6042.19,6170.08,6008.47,6099.9,6500900
2019-08-13,5834.83,5894.47,5703.31,5815.45,10622695
2019-08-14,5753.82,5890.47,5683.64,5816.0,7319816
2019-08-16,6017.44,6059.19,5857.79,5975.05,7074461
2019-08-19,5943.53,6102.54,5916.89,5982.55,4066448
2019-08-20,6286.77,6312.07,6077.15,6190.95,8356760
2019-08-21,6257.48,6311.96,6120.88,6228.9,18553890
2019-08-22,6168.57,6294.53,6107.24,6208.55,8095165
2019-08-23,6272.4,6324.77,6145.0,6254.35,8281216
2019-08-26,6317.37,6352.01,6137.7,6255.55,7031012
2019-08-27,6242.65,6371.47,6212.37,6277.75,5256820
2019-08-28,6143.82,6170.93,6010.66,6103.4,6072035
2019-08-29,6084.58,6228.29,5993.41,6110.2,11171594
2019-08-30,6051.39,6242.37,6028.95,6123.75,34199418
2019-09-03,6012.94,6112.93,5989.5,6049.7,16286793
2019-09-04,5871.06,5908.34,5714.32,5830.75,13634512
2019-09-05,6058.6,6087.54,5833.34,5968.65,27067482
