date,open,high,low,close,volume
2022-01-03,155.9,157.1,154.9,156.06,130444505
2022-01-04,155.77,157.65,155.54,156.6,102710792
2022-01-05,158.31,159.08,157.59,158.42,22468905
2022-01-06,153.76,154.25,151.58,152.49,50016477
2022-01-07,159.25,160.46,157.59,159.17,90693245
2022-01-10,166.19,167.56,165.06,166.7,42545200
2022-01-11,167.1,169.41,166.41,167.45,40850850
2022-01-12,166.45,167.89,165.94,166.87,40308136
2022-01-13,167.02,167.89,166.85,167.21,70102578
2022-01-14,171.56,172.03,170.5,171.25,58312675
2022-01-17,173.02,175.43,172.56,173.45,61882190
2022-01-18,174.81,176.79,173.45,174.76,46218781
2022-01-19,181.95,183.05,179.38,181.17,100654810
2022-01-20,186.75,187.32,185.59,186.65,44109140
2022-01-21,182.65,183.19,181.95,182.5,71092694
2022-01-24,187.44,189.47,184.89,186.87,21794431
2022-01-25,192.08,193.2,191.85,192.62,49244859
2022-01-26,193.83,195.73,193.24,194.25,41431743
2022-01-27,197.61,198.13,197.02,197.48,52108315
2022-01-28,196.22,198.17,195.04,196.26,26114599
2022-01-31,189.64,192.36,189.28,190.73,96167710
2022-02-01,200.51,200.98,199.21,200.24,53451067
2022-02-02,194.65,195.75,192.83,193.94,122949140
2022-02-03,202.07,203.69,201.16,202.57,68424661
2022-02-04,201.76,203.42,201.4,202.54,55589110
2022-02-07,210.21,211.85,208.01,209.27,50321340
2022-02-08,208.91,211.71,207.21,209.7,65225738
2022-02-09,214.52,215.74,213.98,215.0,67711896
2022-02-10,218.24,218.93,216.8,217.75,61181197
2022-02-11,214.27,215.19,213.75,214.46,123629827
2022-02-14,214.22,217.11,213.46,215.5,79439120
2022-02-15,214.65,216.79,212.62,215.06,38819486
2022-02-16,219.15,219.61,217.69,218.87,36398689
2022-02-17,220.68,221.26,218.62,219.97,59691039
2022-02-18,222.58,222.96,221.25,221.89,53875299
2022-02-21,216.25,217.91,214.97,216.59,55890310
2022-02-22,210.44,210.69,209.76,210.1,26131358
2022-02-23,211.59,212.41,208.67,210.78,71419599
2022-02-24,211.89,213.43,210.54,212.06,43061144
2022-02-25,206.42,207.6,205.77,206.87,121816002
2022-02-28,211.27,212.87,208.14,210.16,54928913
2022-03-01,214.17,214.49,212.66,213.74,47842098
2022-03-02,215.68,215.87,214.32,214.9,60878765
2022-03-03,214.23,217.48,212.61,215.3,38449079
2022-03-04,209.65,209.94,207.77,208.9,97751890
2022-03-07,202.28,204.95,199.62,202.6,129277486
2022-03-08,204.33,206.48,203.21,204.92,67002537
2022-03-09,203.44,204.12,197.83,201.02,65294971
2022-03-10,199.38,200.13,196.36,197.55,39525763
2022-03-11,199.24,199.66,198.46,199.23,49825535
2022-03-14,211.82,212.55,208.55,209.95,62160244
2022-03-15,208.46,209.14,207.22,208.19,31584242
2022-03-16,219.86,222.3,217.84,219.47,93989066
2022-03-17,220.44,220.86,217.89,219.38,27064535
2022-03-18,223.98,224.44,220.9,222.83,21853852
2022-03-21,227.49,230.94,225.62,228.58,100414229
2022-03-22,234.78,237.28,233.22,234.91,68271360
2022-03-23,236.82,240.44,234.35,237.27,34283951
2022-03-24,237.99,239.69,232.67,236.26,53214960
2022-03-25,242.09,242.64,240.58,241.57,54951125
2022-03-28,246.98,247.82,240.44,244.26,52107208
2022-03-29,242.45,244.85,240.3,241.74,33072924
2022-03-30,251.97,254.18,247.06,250.53,56734063
2022-03-31,255.6,257.34,249.24,253.54,79659867
2022-04-01,248.34,250.05,247.69,248.96,25061905
2022-04-04,243.71,244.67,242.28,243.75,41194365
2022-04-05,256.44,259.72,252.61,256.11,31430382
2022-04-06,253.44,253.85,252.51,253.1,36842079
2022-04-07,258.23,259.33,256.12,258.04,58173550
2022-04-08,262.02,263.3,258.17,260.61,29773060
2022-04-11,265.34,266.32,264.82,265.47,100139544
2022-04-12,276.67,281.77,274.76,278.61,51407263
2022-04-13,288.33,290.02,283.43,285.78,42833148
2022-04-14,291.19,293.65,289.63,291.96,23418169
2022-04-15,289.3,293.16,287.4,290.68,52919687
2022-04-18,285.45,286.85,284.63,286.03,51117188
2022-04-19,301.13,306.93,300.09,304.02,29434283
2022-04-20,304.09,305.25,301.15,303.85,33622217
2022-04-21,304.62,306.35,301.07,303.19,99528706
2022-04-22,305.39,306.47,304.11,305.54,42780497
