date,open,high,low,close,volume
2022-01-03,278.76,281.51,278.26,280.08,78208279
2022-01-04,278.6,280.58,277.93,279.14,28922358
2022-01-05,278.56,282.19,275.87,279.91,57019664
2022-01-06,277.59,278.2,274.18,276.02,76316919
2022-01-07,283.12,285.75,281.35,283.59,41780158
2022-01-10,278.21,280.37,274.51,277.41,65462506
2022-01-11,274.98,276.69,274.23,275.11,16409503
2022-01-12,278.85,281.12,278.28,279.69,77579363
2022-01-13,279.35,282.07,278.88,280.29,50603497
2022-01-14,282.92,285.31,281.67,283.19,45100406
2022-01-17,289.76,291.91,289.14,290.66,74116604
2022-01-18,295.26,296.81,294.78,295.81,99856971
2022-01-19,297.53,299.71,292.22,296.91,60722198
2022-01-20,304.3,311.41,303.4,307.46,95155134
2022-01-21,305.27,307.0,303.18,304.84,26861920
2022-01-24,304.63,306.43,303.41,304.81,65261517
2022-01-25,305.14,305.78,304.49,305.12,47428412
2022-01-26,305.33,307.82,302.29,305.08,36478949
2022-01-27,299.9,304.4,297.47,300.35,23116587
2022-01-28,292.78,294.84,291.73,293.28,63862850
2022-01-31,296.21,296.94,294.6,295.69,70961610
2022-02-01,295.33,296.59,290.4,293.14,85526999
2022-02-02,301.79,306.15,300.3,302.68,80047417
2022-02-03,301.96,303.39,301.65,302.79,36720644
2022-02-04,303.18,304.09,299.07,302.02,83789291
2022-02-07,307.42,309.83,305.94,307.82,87405831
2022-02-08,310.81,312.69,308.61,310.27,45061554
2022-02-09,309.01,313.93,305.9,309.87,50571810
2022-02-10,306.13,310.2,305.11,307.17,34410485
2022-02-11,325.8,327.59,323.42,326.17,90412046
2022-02-14,328.59,332.29,324.58,328.55,27311507
2022-02-15,333.77,336.53,332.79,334.8,61930406
2022-02-16,329.35,332.67,326.5,329.86,39381309
2022-02-17,328.76,330.24,324.59,327.32,32100829
2022-02-18,339.53,341.65,336.7,339.08,23620894
2022-02-21,343.87,352.34,342.05,347.26,45872258
2022-02-22,350.42,351.45,349.21,350.34,30150121
2022-02-23,350.46,353.19,345.11,348.73,51141218
2022-02-24,349.09,350.46,345.29,347.95,101469466
2022-02-25,345.25,347.84,341.31,344.72,54153680
2022-02-28,337.95,339.93,337.38,338.91,111156065
2022-03-01,346.68,349.45,341.12,344.47,33754498
2022-03-02,349.47,352.74,343.6,347.97,29953515
2022-03-03,351.28,354.47,350.84,352.63,33155770
2022-03-04,349.37,354.55,345.47,351.26,48714795
2022-03-07,353.02,354.65,352.08,353.23,148591730
2022-03-08,351.46,352.55,349.57,351.32,25717639
2022-03-09,346.95,349.77,345.89,347.78,64064363
2022-03-10,358.33,360.82,355.0,357.71,37789711
2022-03-11,362.09,363.3,356.15,358.95,45718443
2022-03-14,362.58,363.0,361.39,362.42,30229402
2022-03-15,369.86,371.37,362.11,367.85,71070925
2022-03-16,370.4,370.66,368.47,369.19,49129170
2022-03-17,370.43,372.24,370.21,371.17,77246717
2022-03-18,365.22,365.99,364.09,365.32,53630668
2022-03-21,360.71,363.77,358.39,360.66,23089394
2022-03-22,359.03,361.19,350.99,355.77,77528074
2022-03-23,358.36,363.0,356.36,359.77,22349920
2022-03-24,364.93,366.12,355.82,360.72,23666532
2022-03-25,356.48,357.19,355.46,356.12,34644602
2022-03-28,360.46,361.49,357.61,359.62,34830059
2022-03-29,361.3,366.53,360.25,362.94,87394430
2022-03-30,356.97,361.6,355.45,359.1,46691421
2022-03-31,359.49,360.08,358.05,359.12,82349890
2022-04-01,360.3,366.01,359.54,362.46,39839385
2022-04-04,358.69,359.97,354.77,357.7,56774174
2022-04-05,357.03,363.59,356.21,361.13,60439322
2022-04-06,362.79,364.66,359.67,363.06,66052453
2022-04-07,356.8,358.85,355.49,357.48,41514905
2022-04-08,360.51,363.01,356.93,358.92,42986282
2022-04-11,361.9,362.82,360.15,361.2,44379194
2022-04-12,357.15,363.4,353.42,357.78,25817641
2022-04-13,352.18,357.38,350.99,354.84,48349808
2022-04-14,348.53,350.51,348.16,349.34,42886166
2022-04-15,347.33,350.07,343.68,347.01,63057825
2022-04-18,346.54,349.07,343.84,347.12,51859776
2022-04-19,344.7,345.2,343.56,344.28,85334235
2022-04-20,336.91,340.0,333.72,336.36,51421604
2022-04-21,332.87,335.06,331.16,332.84,39930511
2022-04-22,330.68,335.6,327.14,330.79,51167363
2022-04-25,331.93,338.13,331.08,335.31,66799119
2022-04-26,338.37,344.12,335.01,338.69,24599842
2022-04-27,345.05,345.65,340.61,343.42,37559396
2022-04-28,340.36,341.21,337.0,339.56,37877312
2022-04-29,339.85,344.92,336.95,340.5,58934053
2022-05-02,327.9,329.1,326.32,327.71,61740345
2022-05-03,331.16,332.06,328.01,330.13,52066101
2022-05-04,333.71,336.05,331.77,333.54,18551817
2022-05-05,331.25,332.77,331.05,331.84,25822746
2022-05-06,332.54,336.23,331.84,333.58,45442612
2022-05-09,325.74,329.21,322.16,325.75,40912483
2022-05-10,325.54,326.72,317.23,321.76,50107523
2022-05-11,325.91,326.62,324.57,325.89,41440710
2022-05-12,327.72,329.72,327.35,328.73,92266395
2022-05-13,326.05,328.39,325.26,326.74,19974298
2022-05-16,332.87,334.9,327.73,331.17,56434126
2022-05-17,332.64,333.14,330.92,332.07,69632204
2022-05-18,330.84,333.35,327.16,329.57,66197214
2022-05-19,329.4,330.27,328.02,328.77,68506744
2022-05-20,324.33,330.4,323.49,326.54,72564031
2022-05-23,321.78,323.0,317.88,320.58,39268829
2022-05-24,329.76,331.61,324.76,327.25,32182714
2022-05-25,324.26,326.09,323.45,324.45,22156930
2022-05-26,321.56,323.91,316.84,320.32,43249335
2022-05-27,312.2,314.02,311.52,312.74,36635208
2022-05-30,297.15,302.63,296.32,299.97,79572338
2022-05-31,301.34,306.42,299.54,303.51,44567271
2022-06-01,306.62,308.67,305.97,307.54,33110839
2022-06-02,312.65,316.52,310.38,313.62,31081376
2022-06-03,312.92,316.65,310.05,313.03,110780528
2022-06-06,311.52,312.58,310.44,311.58,49560219
2022-06-07,308.7,310.64,306.9,309.21,36577058
2022-06-08,306.89,308.6,306.1,307.31,52543412
2022-06-09,311.3,314.95,310.79,313.03,106780856
2022-06-10,313.0,315.22,309.87,313.05,42783424
2022-06-13,314.8,315.98,313.96,315.11,65813651
2022-06-14,311.87,315.34,310.09,313.04,80367303
2022-06-15,321.61,323.11,315.84,319.89,23463674
2022-06-16,312.36,315.01,306.28,310.44,38731686
2022-06-17,306.43,307.36,302.98,304.59,76436295
2022-06-20,305.83,309.75,301.97,306.29,37799717
2022-06-21,313.31,316.98,312.36,314.84,59019810
2022-06-22,313.77,315.27,310.89,313.55,36915457
2022-06-23,306.96,313.33,304.66,309.2,41837883
2022-06-24,313.88,315.53,312.53,314.03,39848209
2022-06-27,313.29,316.89,312.64,315.5,64501666
2022-06-28,323.8,324.87,320.42,321.92,54198598
2022-06-29,313.4,318.58,312.1,315.19,52016802
2022-06-30,322.57,323.64,317.6,321.19,136322186
2022-07-01,314.15,314.79,311.71,313.18,100273551
2022-07-04,311.59,314.03,309.41,311.58,22635637
2022-07-05,315.14,316.48,312.08,313.49,41873749
2022-07-06,315.3,317.29,312.37,314.27,131974467
2022-07-07,320.2,321.02,317.82,319.49,39733195
2022-07-08,309.49,313.42,306.33,310.13,115252042
2022-07-11,312.15,313.83,307.62,310.67,42160859
2022-07-12,316.59,319.07,314.38,316.54,45532391
2022-07-13,317.23,317.55,315.39,316.68,70629757
2022-07-14,311.0,312.68,309.4,310.79,48228017
2022-07-15,315.82,318.55,313.4,315.68,60938969
2022-07-18,312.91,313.6,311.06,312.27,93878602
2022-07-19,308.81,309.49,306.69,308.02,67730959
2022-07-20,303.18,305.21,300.76,303.22,52912301
2022-07-21,301.47,304.37,300.54,302.11,97654304
2022-07-22,302.58,303.42,301.82,302.84,71001286
2022-07-25,297.89,298.32,294.88,296.61,37285545
2022-07-26,293.17,294.55,289.93,291.46,110393703
2022-07-27,289.94,291.15,286.35,288.09,64648780
2022-07-28,281.83,284.83,281.39,283.58,45904001
2022-07-29,283.22,285.37,281.27,283.61,22280146
2022-08-01,285.7,288.9,280.55,285.11,28817776
2022-08-02,286.69,287.29,284.74,285.99,98699212
2022-08-03,285.41,288.88,284.85,286.88,100272261
2022-08-04,295.77,296.44,293.39,294.5,51735108
2022-08-05,296.6,297.9,295.08,296.36,24629017
