date,open,high,low,close,volume
2022-01-03,327.91,329.91,327.62,328.74,42626320
2022-01-04,337.16,337.79,332.15,334.2,85149061
2022-01-05,326.4,326.91,324.78,325.69,36727547
2022-01-06,330.16,331.59,327.94,329.44,63839716
2022-01-07,332.28,337.2,331.43,333.99,67856320
2022-01-10,344.11,347.49,343.47,344.88,32465645
2022-01-11,329.37,331.04,327.44,329.09,35682995
2022-01-12,323.22,325.52,322.1,324.25,76676891
2022-01-13,311.77,313.86,308.67,311.09,34526163
2022-01-14,305.45,306.51,303.99,305.29,48863402
2022-01-17,305.48,306.16,303.23,304.9,113071067
2022-01-18,308.27,313.45,305.78,309.65,73991920
2022-01-19,327.27,330.32,323.34,327.23,51733998
2022-01-20,340.0,341.69,335.6,338.45,69987400
2022-01-21,333.82,337.06,330.68,334.95,48893974
2022-01-24,342.45,343.83,338.0,341.23,75137197
2022-01-25,350.03,354.28,348.94,351.87,22054503
2022-01-26,352.24,353.21,350.11,351.49,47290839
2022-01-27,352.41,352.86,349.78,351.41,21703793
2022-01-28,348.72,351.85,346.92,349.93,53333522
2022-01-31,354.33,355.53,353.55,354.47,45492698
2022-02-01,357.73,360.92,357.09,358.48,86169384
2022-02-02,360.15,361.69,357.7,360.17,66470215
2022-02-03,376.18,378.6,373.31,375.99,40511582
2022-02-04,383.28,388.25,382.52,385.66,42501378
2022-02-07,373.59,375.67,368.7,371.44,58224231
2022-02-08,357.85,359.45,352.71,356.21,39765462
2022-02-09,363.21,364.42,357.51,360.26,49356718
2022-02-10,360.03,361.04,358.86,359.86,84664994
2022-02-11,344.94,349.49,341.04,345.5,35886849
2022-02-14,331.9,332.83,328.14,330.53,41802379
2022-02-15,328.56,331.84,326.2,328.99,44214379
2022-02-16,331.91,333.79,328.81,331.45,176841239
2022-02-17,334.73,335.96,332.95,334.23,63772372
2022-02-18,329.92,331.47,328.89,329.84,78637630
2022-02-21,324.91,327.23,324.44,325.88,67984061
2022-02-22,320.26,324.48,319.71,322.39,69838159
2022-02-23,326.41,331.33,322.5,326.65,60427990
2022-02-24,314.92,316.87,313.09,315.29,57866040
2022-02-25,316.57,317.23,314.52,315.85,27986580
2022-02-28,323.71,325.25,322.54,324.09,57694902
2022-03-01,321.38,322.63,320.78,321.79,47879410
2022-03-02,321.99,325.84,318.58,323.45,62190718
2022-03-03,325.04,330.57,322.79,327.12,48602712
2022-03-04,320.87,324.91,320.02,322.41,67849276
2022-03-07,320.66,324.12,319.85,322.04,72820392
2022-03-08,312.02,316.55,309.52,312.55,15598254
2022-03-09,316.02,317.66,315.82,316.63,42033456
2022-03-10,316.92,321.2,315.29,318.29,23785311
2022-03-11,329.49,331.17,324.95,327.75,55014722
2022-03-14,334.54,337.04,333.53,335.16,44333458
2022-03-15,344.52,346.23,344.12,345.25,86000610
2022-03-16,356.88,357.3,354.33,356.04,54321541
2022-03-17,350.91,354.2,346.02,350.37,41174165
2022-03-18,354.22,356.08,353.89,354.88,72780759
2022-03-21,359.0,362.78,358.34,361.14,44024311
2022-03-22,356.69,358.85,353.59,356.24,40969340
2022-03-23,367.04,370.54,363.06,367.42,58526121
2022-03-24,365.17,369.72,364.33,366.94,95317322
2022-03-25,371.79,374.54,370.73,373.1,70347255
2022-03-28,385.46,386.49,379.92,383.23,62727214
2022-03-29,387.04,388.97,384.6,387.3,150265303
