date,open,high,low,close,volume
2019-07-05,136.11,137.32,135.2,136.5,7236347
2019-07-08,129.76,134.04,126.47,129.6,7319465
2019-07-09,127.08,132.39,126.17,129.55,6110346
2019-07-10,129.78,131.26,126.55,129.05,15537277
2019-07-11,130.32,131.7,126.86,128.95,8698038
2019-07-12,128.86,129.73,126.17,127.8,15022556
2019-07-15,129.09,130.25,126.73,127.95,17813972
2019-07-16,131.3,132.72,129.39,130.95,11992395
2019-07-17,129.65,131.74,127.07,129.1,11667844
2019-07-18,127.72,129.48,124.9,127.05,5486484
2019-07-19,129.06,132.37,128.67,129.9,4689678
2019-07-22,130.59,132.32,129.12,130.85,4732499
2019-07-23,132.12,135.35,131.63,133.05,10368866
2019-07-24,131.97,134.18,129.84,131.85,31651651
2019-07-25,128.29,131.35,127.43,129.75,7532325
2019-07-26,126.86,130.03,126.48,128.8,16693839
2019-07-29,127.55,128.66,125.13,127.3,13003631
2019-07-30,127.64,128.92,125.11,127.2,10170666
2019-07-31,126.06,127.8,124.86,126.55,8855070
2019-08-01,126.09,128.58,125.64,126.85,8064702
2019-08-02,124.14,124.54,121.21,123.1,7990461
2019-08-05,120.09,121.95,119.56,121.0,13534898
2019-08-06,123.56,124.8,122.37,123.35,15376498
2019-08-07,122.64,123.92,122.05,123.05,8089616
2019-08-08,124.21,126.17,123.7,124.65,8034332
2019-08-09,124.19,125.79,122.53,123.9,7474533
2019-08-13,116.58,119.11,115.71,117.15,16488493
2019-08-14,116.85,118.97,115.5,117.6,15521311
2019-08-16,118.61,119.9,116.8,117.8,20921860
2019-08-19,118.76,120.54,117.52,118.9,6663868
2019-08-20,117.79,119.49,115.99,117.95,7342931
2019-08-21,116.8,119.24,115.82,117.9,22869213
2019-08-22,114.77,115.67,113.06,114.75,19386040
2019-08-23,118.47,119.87,116.29,118.5,6093188
2019-08-26,121.1,122.21,119.0,120.05,6393034
2019-08-27,122.34,124.71,120.93,123.2,11350086
2019-08-28,121.12,121.65,118.08,119.9,18606086
2019-08-29,123.51,125.34,120.77,123.1,6362917
2019-08-30,120.48,123.31,119.76,121.65,10443892
2019-09-03,119.63,120.19,115.5,117.65,17239096
2019-09-04,120.2,122.11,117.82,119.45,9035321
2019-09-05,123.59,124.86,121.15,123.45,9625439
2019-09-06,126.82,129.42,125.1,127.0,20353924
2019-09-09,126.24,128.35,124.48,126.35,8115111
2019-09-11,125.5,126.84,122.56,124.5,18851620
2019-09-12,123.73,124.57,120.55,122.25,9279173
2019-09-13,124.88,125.23,122.54,124.05,5811685
2019-09-16,124.9,125.41,120.65,123.25,13209464
2019-09-17,120.97,122.4,119.03,120.9,7347785
2019-09-18,121.06,124.57,120.34,122.5,5568448
2019-09-19,122.24,124.28,119.62,121.7,26707953
2019-09-20,119.07,121.33,118.26,119.85,12332546
2019-09-23,116.59,117.63,114.89,116.05,8525842
2019-09-24,114.8,116.33,113.91,115.15,8603872
2019-09-25,116.72,118.73,114.57,116.9,21497816
2019-09-26,117.53,118.82,115.34,116.55,22311947
2019-09-27,118.27,118.8,115.76,117.05,7615348
2019-09-30,117.97,118.91,115.37,117.5,11414237
2019-10-01,115.55,119.15,115.07,117.05,8322498
2019-10-03,116.36,118.23,115.82,116.75,14680700
2019-10-04,118.63,119.36,115.82,117.4,8378487
2019-10-07,116.6,117.43,114.7,115.95,3805781
2019-10-09,116.8,118.73,116.26,117.25,5970929
2019-10-10,117.49,118.5,116.14,117.25,16835544
2019-10-11,117.23,118.21,115.92,116.7,6977003
2019-10-14,118.13,118.85,116.29,117.75,14809539
2019-10-15,120.11,120.61,118.6,119.4,12040911
2019-10-16,117.6,118.18,116.57,117.4,7003025
2019-10-17,119.37,120.17,117.73,118.7,9254771
2019-10-18,121.36,122.05,120.16,121.05,7314824
2019-10-22,120.43,122.19,119.93,120.9,8268327
2019-10-23,121.44,122.03,120.36,121.05,4096183
2019-10-24,120.25,121.33,119.26,120.2,9441521
2019-10-25,118.95,119.11,117.79,118.5,7487815
2019-10-27,119.16,119.92,117.64,118.8,10390133
2019-10-29,119.92,120.85,119.3,119.9,13014754
2019-10-30,121.85,122.16,120.37,120.95,13638594
2019-10-31,122.17,123.32,121.72,122.4,7529931
2019-11-01,121.43,122.42,120.54,121.5,7246077
2019-11-04,119.72,121.38,119.43,120.55,9269976
2019-11-05,120.7,121.4,119.63,120.6,17279681
2019-11-06,120.47,121.27,119.51,120.65,7733245
2019-11-07,119.46,120.31,118.6,119.55,7102738
2019-11-08,117.18,118.43,116.73,117.4,5767547
2019-11-11,118.21,118.89,117.54,118.25,12889128
2019-11-13,118.19,119.0,117.47,118.3,8644586
2019-11-14,117.63,119.71,117.35,118.55,6048714
2019-11-15,116.85,117.92,116.53,117.35,6713734
2019-11-18,117.79,118.1,116.39,117.45,13972965
2019-11-19,117.53,117.77,116.89,117.35,10746529
2019-11-20,116.57,117.87,116.25,117.05,7156090
2019-11-21,116.04,116.24,114.59,115.3,13326506
2019-11-22,118.0,118.94,117.15,117.8,16778078
2019-11-25,118.71,119.21,117.54,118.1,13883035
2019-11-26,116.73,117.44,115.92,116.65,11089073
2019-11-27,116.07,116.63,114.7,115.75,23132322
2019-11-28,115.8,116.47,114.65,115.55,19389832
2019-11-29,115.86,117.39,115.59,116.35,10317764
2019-12-02,115.93,116.26,114.3,115.3,16563797
2019-12-03,114.93,115.31,113.98,114.55,13848836
2019-12-04,114.55,115.58,114.16,114.8,7657876
2019-12-05,113.71,114.77,113.29,114.1,22260736
2019-12-06,112.66,113.12,111.82,112.65,23247716
2019-12-09,112.83,113.21,112.08,112.7,18201464
2019-12-10,109.46,110.68,109.21,110.0,13704788
2019-12-11,113.77,114.08,112.31,113.0,16045281
2019-12-12,115.11,115.67,113.81,114.45,8458758
2019-12-13,116.73,117.05,114.24,115.65,17294344
2019-12-16,114.89,116.06,113.94,114.95,5246984
2019-12-17,115.02,116.53,114.71,115.55,8495743
2019-12-18,115.02,115.4,113.21,114.15,2853603
2019-12-19,114.51,115.01,112.99,114.05,12215200
2019-12-20,113.59,115.36,113.39,114.7,16733656
2019-12-23,114.37,115.18,113.47,114.6,22809502
2019-12-24,114.16,116.31,113.91,115.2,8980499
2019-12-26,116.47,117.68,115.73,116.4,11228605
2019-12-27,117.59,117.96,116.13,116.85,9928238
