date,open,high,low,close,volume
2022-01-03,223.2,224.26,222.46,223.26,53168375
2022-01-04,211.74,212.13,210.28,211.38,33537319
2022-01-05,219.16,220.22,218.76,219.49,29176965
2022-01-06,223.55,223.91,222.5,223.01,41923853
2022-01-07,227.91,231.37,226.23,229.4,29331395
2022-01-10,213.27,216.1,212.86,213.92,65414358
2022-01-11,217.9,221.51,217.07,219.72,12621368
2022-01-12,214.22,214.84,212.77,213.65,31336057
2022-01-13,210.5,213.13,209.32,211.16,88008634
2022-01-14,220.96,221.98,219.27,220.84,45756580
2022-01-17,226.09,226.78,224.75,225.64,53817287
2022-01-18,220.83,222.83,219.63,221.5,47486958
2022-01-19,227.16,228.25,226.15,227.27,38903945
2022-01-20,230.53,232.74,228.91,230.16,77486230
2022-01-21,229.83,230.65,224.88,227.77,39776582
2022-01-24,231.37,232.24,230.89,231.46,35896161
2022-01-25,228.15,231.11,227.19,229.26,65022138
2022-01-26,232.39,233.31,231.8,232.36,23098371
2022-01-27,235.93,237.31,233.53,235.4,44605340
2022-01-28,240.12,241.29,237.88,239.41,40627296
2022-01-31,255.93,256.53,252.8,254.1,44272386
2022-02-01,262.37,262.72,260.91,261.88,41127191
2022-02-02,269.62,273.18,267.85,270.34,58093747
2022-02-03,266.89,270.72,263.57,266.58,77625617
2022-02-04,255.46,255.91,254.41,255.18,60084852
2022-02-07,256.1,257.18,250.71,254.2,43696043
2022-02-08,250.17,252.53,248.78,250.97,64366697
2022-02-09,255.72,258.63,253.28,255.99,67454920
2022-02-10,255.78,256.14,254.13,254.93,57765660
2022-02-11,264.6,267.48,262.78,265.76,76056992
2022-02-14,252.61,253.54,251.74,252.7,19551749
2022-02-15,252.55,253.39,248.63,251.04,50538163
2022-02-16,255.93,256.99,252.86,254.32,56552215
2022-02-17,246.92,248.53,246.25,247.43,27647317
2022-02-18,254.36,256.04,253.42,254.7,54616251
2022-02-21,260.72,265.05,258.04,261.93,72096339
2022-02-22,261.32,262.07,257.68,259.03,45717131
2022-02-23,282.86,283.23,279.51,280.95,65016348
2022-02-24,272.96,273.74,270.95,272.18,75273213
2022-02-25,261.5,263.63,259.47,261.88,85542088
2022-02-28,257.57,260.35,257.23,258.64,79589689
2022-03-01,260.82,261.55,259.41,260.59,86337644
2022-03-02,248.34,250.52,246.81,248.73,40943947
2022-03-03,253.75,254.98,251.87,253.85,42775694
2022-03-04,274.19,275.53,272.28,273.78,18590387
2022-03-07,263.05,264.64,261.56,263.05,32653621
2022-03-08,268.09,269.11,262.01,265.08,81402226
2022-03-09,272.7,274.22,272.5,273.3,39255061
2022-03-10,280.55,282.41,276.79,280.16,58618969
2022-03-11,299.07,301.59,297.18,299.44,55053951
2022-03-14,296.03,296.6,294.87,295.78,82129516
2022-03-15,315.53,318.58,310.09,314.51,22284025
2022-03-16,313.55,317.06,313.12,314.5,57574228
2022-03-17,309.23,313.1,307.34,310.28,57200918
2022-03-18,327.29,330.25,326.29,328.87,35477688
2022-03-21,323.22,328.64,321.57,325.85,73414518
2022-03-22,338.02,339.38,335.09,337.09,28571476
2022-03-23,332.43,333.46,332.0,332.75,76541826
2022-03-24,320.11,324.13,316.39,320.85,21110038
2022-03-25,309.02,310.38,308.44,309.4,34815228
2022-03-28,316.83,320.3,312.33,316.27,47279075
2022-03-29,307.2,308.29,304.93,306.58,54548320
2022-03-30,304.71,306.68,303.58,304.9,23683758
2022-03-31,300.22,302.5,297.05,299.25,75882551
2022-04-01,292.33,292.99,290.22,291.7,67589119
