date,open,high,low,close,volume
2019-07-05,1159.65,1162.92,1143.93,1155.12,15496411
2019-07-08,1148.1,1152.21,1139.45,1144.79,20882686
2019-07-09,1170.07,1187.12,1151.1,1170.44,7393452
2019-07-10,1177.56,1181.93,1160.53,1169.29,8915673
2019-07-11,1162.79,1179.14,1158.59,1171.76,4405452
2019-07-12,1172.68,1177.46,1159.58,1170.8,8218186
2019-07-15,1159.55,1172.32,1156.36,1166.78,16458965
2019-07-16,1187.65,1193.66,1170.96,1182.23,7919573
2019-07-17,1167.83,1181.62,1161.32,1172.04,13774581
2019-07-18,1160.56,1164.83,1143.29,1153.75,9091442
2019-07-19,1145.95,1147.73,1135.45,1142.0,11758937
2019-07-22,1168.7,1186.24,1163.78,1170.8,5633547
2019-07-23,1163.23,1178.12,1150.01,1164.45,10435253
2019-07-24,1157.14,1159.42,1139.62,1151.24,2241212
2019-07-25,1122.98,1134.27,1112.27,1126.0,9107853
2019-07-26,1114.0,1117.95,1099.08,1109.82,4425346
2019-07-29,1109.15,1116.09,1099.91,1107.21,18275883
2019-07-30,1079.61,1090.81,1072.14,1079.74,14750673
2019-07-31,1061.49,1076.31,1054.23,1066.34,12628050
2019-08-01,1073.99,1088.13,1068.96,1079.14,21393522
2019-08-02,1088.89,1094.74,1074.62,1082.89,6222220
2019-08-05,1041.89,1053.86,1033.6,1045.4,23957146
2019-08-06,1032.76,1040.6,1024.64,1031.64,15937596
2019-08-07,1013.31,1023.89,1002.99,1014.36,8884493
2019-08-08,1056.15,1066.75,1042.55,1053.63,17643989
2019-08-09,1072.5,1079.62,1045.33,1062.55,5751371
2019-08-13,1179.55,1184.08,1144.85,1165.55,6621540
2019-08-14,1174.88,1202.78,1154.16,1177.89,7376433
2019-08-16,1184.95,1194.72,1153.65,1168.52,7675982
2019-08-19,1188.34,1197.51,1165.71,1181.87,5896189
2019-08-20,1171.59,1193.03,1144.43,1166.64,18432706
2019-08-21,1174.03,1179.54,1138.74,1162.07,8785985
2019-08-22,1125.14,1155.29,1114.53,1139.94,11927391
2019-08-23,1156.23,1199.74,1146.2,1166.55,7518821
2019-08-26,1177.94,1191.02,1130.7,1158.28,4024028
2019-08-27,1162.21,1195.31,1134.98,1165.64,11445696
2019-08-28,1164.16,1175.05,1126.1,1155.08,3843785
2019-08-29,1145.37,1150.95,1120.87,1135.37,9662651
2019-08-30,1126.37,1167.86,1119.05,1141.59,5045150
2019-09-03,1117.75,1125.06,1087.24,1103.05,27010430
2019-09-04,1095.72,1114.32,1079.97,1098.25,15772476
2019-09-05,1092.05,1117.76,1065.46,1095.92,10542998
2019-09-06,1119.84,1131.8,1101.81,1117.77,18810936
2019-09-09,1138.57,1146.7,1095.52,1117.5,6549751
2019-09-11,1110.05,1145.8,1105.39,1128.65,13122453
2019-09-12,1105.42,1130.67,1081.98,1106.66,11050661
2019-09-13,1122.88,1131.02,1107.76,1120.61,11411197
2019-09-16,1112.95,1119.22,1099.73,1107.03,18892440
2019-09-17,1099.41,1107.24,1084.6,1094.87,14423100
2019-09-18,1094.73,1111.27,1090.4,1102.41,11553020
2019-09-19,1078.34,1094.5,1070.03,1078.04,4371653
2019-09-20,1145.68,1168.8,1131.08,1146.89,6187690
2019-09-23,1147.82,1156.7,1122.07,1133.04,9404898
2019-09-24,1168.72,1193.59,1156.85,1169.16,10477931
2019-09-25,1162.87,1189.9,1152.94,1169.93,5683022
2019-09-26,1205.82,1211.0,1172.35,1185.71,33395575
2019-09-27,1180.36,1209.68,1176.84,1196.91,21344244
2019-09-30,1228.92,1232.64,1196.03,1218.12,13512892
2019-10-01,1192.4,1205.45,1169.05,1193.11,10366749
2019-10-03,1207.25,1214.12,1185.14,1198.74,8993306
2019-10-04,1192.8,1212.26,1182.97,1196.04,6212888
2019-10-07,1188.68,1212.41,1185.7,1197.87,10395004
2019-10-09,1220.64,1233.69,1191.56,1211.26,11375493
2019-10-10,1253.73,1262.76,1223.96,1246.01,5374711
2019-10-11,1243.9,1252.35,1224.88,1236.73,11818585
2019-10-14,1226.36,1260.55,1217.03,1241.66,9253071
2019-10-15,1252.96,1260.32,1235.55,1247.29,3852342
2019-10-16,1265.46,1277.11,1236.21,1254.78,6503838
2019-10-17,1276.47,1288.75,1255.84,1276.87,8131800
2019-10-18,1306.34,1320.47,1271.26,1295.02,25698404
2019-10-22,1304.7,1313.82,1272.98,1293.0,13208514
2019-10-23,1272.35,1282.84,1257.21,1273.12,5128659
2019-10-24,1304.89,1321.7,1301.42,1313.39,12750917
2019-10-25,1308.28,1324.5,1292.69,1308.59,4613252
2019-10-27,1306.71,1326.19,1302.94,1311.38,17183173
2019-10-29,1337.99,1357.28,1323.68,1341.37,7901264
2019-10-30,1351.33,1368.87,1338.33,1352.39,9542609
2019-10-31,1325.84,1347.86,1321.87,1338.9,19404081
2019-11-01,1328.86,1343.06,1320.19,1332.09,5254071
2019-11-04,1323.16,1341.38,1318.92,1332.78,4973013
2019-11-05,1332.15,1339.49,1310.51,1323.31,7469181
2019-11-06,1321.87,1326.01,1296.84,1311.98,16806647
2019-11-07,1328.06,1345.04,1324.88,1333.65,4678193
2019-11-08,1327.44,1329.59,1313.77,1321.67,2426639
2019-11-11,1306.16,1315.91,1295.68,1305.48,7980536
2019-11-13,1343.51,1358.35,1335.87,1346.17,13176770
2019-11-14,1324.65,1354.32,1318.93,1337.44,18223572
2019-11-15,1347.26,1360.76,1333.73,1344.85,7932786
2019-11-18,1342.6,1352.59,1314.8,1334.19,8140664
2019-11-19,1386.21,1396.16,1366.41,1380.41,17805999
2019-11-20,1405.7,1427.05,1402.22,1415.07,3926365
2019-11-21,1391.72,1425.34,1385.4,1405.88,8234434
2019-11-22,1411.85,1432.63,1396.66,1414.02,10998919
2019-11-25,1422.97,1444.03,1412.3,1427.78,12518336
2019-11-26,1420.42,1445.48,1410.38,1426.59,7749913
2019-11-27,1428.35,1450.21,1417.83,1435.37,10173696
2019-11-28,1453.24,1460.19,1433.18,1444.92,2881818
2019-11-29,1427.08,1432.69,1396.87,1418.27,7195536
2019-12-02,1441.97,1460.65,1428.21,1450.59,12545216
2019-12-03,1449.66,1454.8,1425.42,1443.64,6119241
2019-12-04,1415.3,1430.03,1407.11,1419.68,10299313
2019-12-05,1417.01,1436.07,1399.34,1417.99,12503659
2019-12-06,1417.95,1435.35,1411.15,1421.7,8425901
2019-12-09,1443.88,1454.01,1427.87,1437.88,10889695
