date,open,high,low,close,volume
2019-07-05,371.48,373.37,368.88,370.65,5268523
2019-07-08,351.82,362.91,348.98,355.3,9668642
2019-07-09,361.56,367.15,349.8,359.5,7529215
2019-07-10,354.25,360.07,346.21,354.2,11293810
2019-07-11,363.75,370.5,356.85,363.2,5646870
2019-07-12,367.08,371.93,357.88,363.6,10930294
2019-07-15,359.17,366.45,353.08,360.05,8029399
2019-07-16,365.53,370.99,359.64,364.35,5354496
2019-07-17,372.68,378.69,368.35,372.4,5149723
2019-07-18,366.47,370.08,359.0,363.65,5551537
2019-07-19,359.74,361.93,350.93,356.0,9019469
2019-07-22,352.63,354.15,347.45,350.85,10623651
2019-07-23,346.09,349.43,337.13,342.2,11444358
2019-07-24,334.72,342.69,333.73,339.6,11662301
2019-07-25,344.13,345.72,336.42,341.3,6843665
2019-07-26,341.52,345.83,339.5,342.6,16975761
2019-07-29,345.5,346.93,339.41,343.8,8016262
2019-07-30,324.82,333.68,321.75,327.55,12524164
2019-07-31,332.55,336.94,328.94,332.2,9212003
2019-08-01,320.62,323.55,313.81,317.15,12066049
2019-08-02,309.23,312.62,303.88,308.45,8983782
2019-08-05,299.87,304.07,296.66,300.25,12175217
2019-08-06,301.56,305.16,295.08,301.4,9963123
2019-08-07,290.37,295.08,284.85,289.9,15021843
2019-08-08,293.59,300.17,290.49,294.35,6640867
2019-08-09,292.03,295.74,286.04,291.35,4127365
2019-08-13,281.43,287.42,279.29,283.35,6146644
2019-08-14,292.9,296.32,286.39,289.75,17065251
2019-08-16,288.0,294.05,287.31,290.9,9256311
2019-08-19,286.94,291.25,281.89,286.85,10471070
2019-08-20,283.78,287.76,280.89,283.7,5904807
2019-08-21,276.09,280.32,273.88,277.4,10333199
2019-08-22,268.73,272.0,265.3,268.55,5996516
2019-08-23,271.5,273.83,267.77,271.1,6453963
2019-08-26,285.08,286.62,274.54,280.2,8177146
2019-08-27,288.5,291.34,279.16,285.7,12492565
2019-08-28,287.27,291.34,278.87,284.9,13177474
2019-08-29,274.09,279.37,269.16,274.5,13357894
2019-08-30,272.29,278.88,267.64,273.85,4520140
2019-09-03,266.62,273.34,265.65,268.4,9966732
2019-09-04,275.39,281.08,271.79,275.1,9062945
2019-09-05,274.69,276.24,269.24,273.3,4648264
2019-09-06,273.16,277.72,270.03,273.95,10080239
