date,open,high,low,close,volume
2019-07-05,376.63,379.14,373.05,375.25,15377642
2019-07-08,368.89,370.53,361.16,366.8,13258949
2019-07-09,382.66,398.2,371.02,386.4,18528040
2019-07-10,393.52,402.93,381.07,392.2,10623259
2019-07-11,402.14,404.8,387.9,398.15,11790536
2019-07-12,406.33,418.08,399.36,407.7,11723937
2019-07-15,424.86,428.91,415.07,422.95,5444599
2019-07-16,435.67,440.31,424.64,433.3,12176386
2019-07-17,433.93,435.52,425.42,430.05,51292188
2019-07-18,432.65,435.68,421.46,426.2,22357694
2019-07-19,422.77,426.96,413.05,421.35,6770962
2019-07-22,430.55,434.7,424.09,430.25,4064639
2019-07-23,426.71,434.59,423.44,430.25,10264354
2019-07-24,426.55,431.86,417.24,425.55,17188645
2019-07-25,434.44,444.16,429.84,437.15,9808615
2019-07-26,437.3,444.19,431.62,439.95,25717800
2019-07-29,432.0,435.63,424.7,431.05,6769728
2019-07-30,411.37,415.45,404.11,410.35,11190569
2019-07-31,426.92,435.84,420.44,426.75,9471361
2019-08-01,422.57,431.65,419.6,425.1,14415328
2019-08-02,422.12,428.84,415.74,420.65,14917648
2019-08-05,415.41,422.11,412.32,417.15,18117938
2019-08-06,417.07,427.07,412.69,418.2,9399138
2019-08-07,419.56,426.74,415.5,421.05,18755391
2019-08-08,429.93,434.79,420.28,426.45,11882612
2019-08-09,422.59,430.37,414.87,422.0,19736011
2019-08-13,438.05,449.0,430.79,439.25,21166252
2019-08-14,423.4,426.0,411.53,417.15,10091950
2019-08-16,416.4,421.73,405.8,414.7,7139440
2019-08-19,426.0,431.65,420.44,426.0,11072071
2019-08-20,417.0,425.83,410.15,420.9,16410265
2019-08-21,422.91,426.85,410.77,417.0,4711766
2019-08-22,409.02,421.71,405.05,414.55,7808147
2019-08-23,431.66,437.45,421.75,427.8,14067721
2019-08-26,410.94,427.08,408.81,419.35,2741852
2019-08-27,409.14,426.76,407.06,416.75,5962585
2019-08-28,419.69,422.12,406.43,413.1,7360086
2019-08-29,433.73,439.96,427.21,434.65,9591153
2019-08-30,450.66,460.18,445.49,450.4,8513728
2019-09-03,442.52,446.01,432.79,439.35,8594619
2019-09-04,434.57,436.46,419.62,426.45,5139908
2019-09-05,426.25,443.12,423.78,431.8,24226992
2019-09-06,421.42,436.25,419.2,425.1,7379073
2019-09-09,431.61,434.66,420.57,428.8,3861566
2019-09-11,420.84,427.53,412.81,422.2,17640744
2019-09-12,434.62,438.07,420.26,427.8,6787222
2019-09-13,426.71,431.96,416.72,422.85,5455027
2019-09-16,425.47,431.95,419.58,426.8,14035484
2019-09-17,419.14,428.6,416.33,420.65,7714940
2019-09-18,415.07,420.85,411.03,416.8,10878934
2019-09-19,414.62,418.38,404.46,411.15,7284919
2019-09-20,412.02,422.02,407.99,413.7,7933694
2019-09-23,412.43,416.72,403.73,409.45,6087865
2019-09-24,405.35,413.64,401.84,409.65,5449789
2019-09-25,406.41,415.03,398.74,406.75,56733214
2019-09-26,406.47,417.34,404.27,411.95,6610053
2019-09-27,402.04,407.26,397.53,401.7,4812293
2019-09-30,389.72,392.83,385.24,389.45,17598514
2019-10-01,386.04,389.61,381.67,386.55,11425451
2019-10-03,386.33,391.49,382.52,388.15,10087442
2019-10-04,386.09,390.67,383.09,386.05,7835208
2019-10-07,378.04,383.98,375.24,379.9,8160643
2019-10-09,385.49,387.87,379.57,383.95,8618349
2019-10-10,389.11,391.82,381.92,387.05,17652075
2019-10-11,387.51,391.37,383.85,386.3,8832187
2019-10-14,393.96,398.21,391.06,394.65,17717824
2019-10-15,397.48,400.4,392.92,396.8,9735238
2019-10-16,400.23,404.4,395.21,399.7,9025125
2019-10-17,402.66,405.87,397.1,401.5,6000938
2019-10-18,399.09,404.03,396.49,401.65,29222774
2019-10-22,407.32,409.84,400.49,405.45,10075171
2019-10-23,405.2,409.75,402.71,405.2,9993891
2019-10-24,406.12,411.26,402.17,405.95,25330760
2019-10-25,415.23,422.22,413.42,417.5,12315247
2019-10-27,420.37,422.77,411.64,417.75,13016217
2019-10-29,423.68,427.35,417.82,421.95,10303156
2019-10-30,427.08,432.45,424.9,429.65,6790577
2019-10-31,435.83,437.27,430.7,433.4,18374520
2019-11-01,438.56,440.82,434.11,437.55,4925413
2019-11-04,437.6,440.11,435.52,437.95,6136256
2019-11-05,433.04,433.88,426.11,429.9,6780573
2019-11-06,426.23,430.41,423.77,427.9,11338617
