date,open,high,low,close,volume
2019-07-05,159.34,161.47,158.79,160.2,9580414
2019-07-08,155.87,156.53,152.46,154.55,48688615
2019-07-09,157.99,159.56,152.3,155.8,17905652
2019-07-10,150.22,154.12,148.7,151.65,7892259
2019-07-11,154.02,159.86,152.57,156.8,10378342
2019-07-12,160.39,163.15,156.2,159.3,10336975
2019-07-15,161.6,164.03,157.26,160.95,5899943
2019-07-16,172.42,174.96,167.28,170.0,18998496
2019-07-17,170.28,172.06,164.1,167.9,8067142
2019-07-18,161.29,164.98,156.87,160.75,8836848
2019-07-19,152.65,158.03,150.04,154.85,11155145
2019-07-22,159.66,161.71,152.15,156.75,6326553
2019-07-23,155.69,160.01,152.21,156.2,11114538
2019-07-24,151.31,154.39,148.81,151.25,7776849
2019-07-25,143.4,146.64,140.24,144.3,7879852
2019-07-26,148.96,150.59,143.56,147.15,9221286
2019-07-29,140.37,141.36,133.34,137.55,6924798
2019-07-30,130.83,136.32,129.13,133.45,4573282
2019-07-31,133.54,137.7,132.51,135.6,10907899
2019-08-01,128.33,133.39,125.84,129.55,3182946
2019-08-02,132.85,134.24,126.36,130.7,3240873
2019-08-05,124.46,127.28,121.38,123.75,10226154
2019-08-06,119.29,124.9,118.64,122.5,9130769
2019-08-07,117.66,119.47,115.3,117.4,11384430
2019-08-08,124.83,127.21,122.04,124.05,13940101
2019-08-09,119.07,124.57,117.99,122.05,3720851
2019-08-13,119.44,125.8,117.65,121.95,7353933
2019-08-14,119.97,123.73,119.17,120.9,7994465
2019-08-16,120.65,123.33,117.78,121.35,11689888
2019-08-19,120.38,122.87,117.63,120.8,11208872
2019-08-20,123.84,127.61,120.52,123.85,8166708
2019-08-21,112.36,115.73,109.48,112.4,10223234
2019-08-22,108.03,110.38,104.98,107.7,8715945
2019-08-23,112.33,114.73,108.24,111.05,6335925
2019-08-26,113.51,114.36,107.78,110.55,10273315
2019-08-27,119.37,123.0,115.18,120.35,3422862
2019-08-28,114.71,120.87,111.91,116.35,11304857
2019-08-29,118.08,119.0,111.35,114.3,20262287
2019-08-30,113.69,119.09,112.47,116.7,8407476
2019-09-03,111.19,115.56,108.84,112.65,28038750
2019-09-04,110.74,111.92,105.28,109.5,13519165
