date,open,high,low,close,volume
2019-07-05,2158.92,2178.96,2152.69,2163.1,14923483
2019-07-08,2176.49,2180.52,2167.38,2175.4,28008487
2019-07-09,2120.9,2148.85,2106.36,2133.35,13222858
2019-07-10,2109.77,2123.79,2085.9,2108.2,9247436
2019-07-11,2095.11,2123.86,2086.68,2102.55,11870404
2019-07-12,2112.03,2120.77,2095.75,2107.6,18621552
2019-07-15,2131.37,2172.78,2120.85,2145.7,6772683
2019-07-16,2101.43,2125.98,2082.11,2106.0,7218453
2019-07-17,2102.56,2131.79,2090.17,2117.25,8568606
2019-07-18,2080.64,2093.54,2050.72,2065.95,3491368
2019-07-19,2072.03,2096.87,2060.89,2076.95,10714782
2019-07-22,2127.15,2135.38,2093.11,2109.9,3894326
2019-07-23,2131.27,2141.52,2086.58,2112.45,10268847
2019-07-24,2088.91,2109.69,2081.71,2096.8,15413287
2019-07-25,2130.68,2142.05,2114.25,2127.9,7878573
2019-07-26,2089.61,2132.86,2080.74,2109.05,23130290
2019-07-29,2129.54,2146.74,2117.43,2130.0,4817883
2019-07-30,2180.99,2195.67,2151.11,2179.15,18141741
2019-07-31,2207.12,2219.72,2185.9,2205.7,14015356
2019-08-01,2177.01,2193.54,2152.23,2180.05,4240022
2019-08-02,2198.42,2232.72,2181.83,2205.3,38783009
2019-08-05,2236.53,2265.52,2217.0,2248.6,9686299
2019-08-06,2193.74,2237.34,2184.02,2214.9,6448471
2019-08-07,2225.44,2237.76,2199.84,2213.45,4948287
2019-08-08,2261.56,2280.44,2242.45,2258.1,8958260
2019-08-09,2249.78,2261.05,2227.2,2246.25,9382832
2019-08-13,2189.08,2229.13,2171.98,2199.45,10526626
2019-08-14,2190.14,2218.38,2174.28,2204.4,8616569
2019-08-16,2161.12,2193.76,2142.17,2165.1,13724708
2019-08-19,2145.82,2191.38,2139.57,2163.0,8238103
2019-08-20,2184.15,2207.59,2170.21,2186.75,3800387
2019-08-21,2195.71,2208.25,2159.53,2186.2,9280397
2019-08-22,2228.25,2237.76,2185.55,2216.0,3061320
2019-08-23,2249.36,2268.25,2229.33,2247.7,11934942
2019-08-26,2278.0,2306.02,2253.7,2276.3,6128407
2019-08-27,2226.71,2267.05,2220.96,2236.5,10851087
2019-08-28,2250.62,2259.32,2215.06,2239.25,19290689
2019-08-29,2216.76,2257.1,2211.75,2233.45,6222742
2019-08-30,2282.45,2288.94,2243.95,2259.6,16999997
2019-09-03,2255.6,2280.75,2231.3,2251.6,8051756
2019-09-04,2241.91,2266.46,2227.27,2245.4,24027103
2019-09-05,2228.15,2234.49,2195.01,2215.3,8331210
2019-09-06,2181.31,2213.32,2176.97,2197.5,6568848
2019-09-09,2192.63,2209.14,2171.18,2182.85,14100416
2019-09-11,2150.95,2166.69,2132.53,2154.0,8042099
2019-09-12,2123.75,2152.49,2112.82,2133.6,6565707
2019-09-13,2139.78,2155.59,2127.2,2141.95,7874779
2019-09-16,2154.47,2163.69,2139.32,2150.0,9779436
2019-09-17,2126.55,2137.26,2103.62,2122.65,19563687
2019-09-18,2120.94,2161.23,2116.43,2138.55,3802053
2019-09-19,2108.95,2112.49,2088.98,2101.95,10116071
2019-09-20,2058.44,2083.45,2050.9,2065.45,13667720
2019-09-23,2010.0,2027.1,2003.12,2015.8,11015566
2019-09-24,2035.97,2057.16,2026.42,2044.7,19250127
2019-09-25,2078.9,2106.42,2074.78,2088.45,9635097
2019-09-26,2078.3,2106.01,2071.44,2087.6,9118536
2019-09-27,2066.95,2070.95,2034.93,2056.15,13446917
2019-09-30,2091.46,2116.95,2077.61,2099.3,10509104
2019-10-01,2047.68,2073.52,2041.53,2059.95,8226665
2019-10-03,2047.93,2077.38,2041.22,2060.25,12944320
2019-10-04,2091.72,2108.28,2057.24,2079.35,7216145
2019-10-07,2067.13,2075.98,2035.09,2047.7,7366896
2019-10-09,2016.05,2038.15,2006.32,2020.1,7679758
2019-10-10,1983.19,2026.27,1977.5,2004.45,19670492
2019-10-11,1984.65,2013.79,1973.41,1986.85,1997860
2019-10-14,2001.26,2034.14,1995.68,2021.0,12187179
2019-10-15,2018.21,2064.89,2007.78,2037.3,10172835
2019-10-16,2049.77,2076.59,2028.25,2046.4,4315226
2019-10-17,2021.11,2045.64,2011.39,2030.95,11674984
2019-10-18,2054.2,2073.75,2033.62,2057.35,12685518
2019-10-22,2040.63,2081.14,2023.03,2051.4,13428841
2019-10-23,2084.59,2092.1,2041.19,2070.1,2655601
2019-10-24,2087.78,2093.96,2058.68,2082.0,19801937
2019-10-25,2127.98,2141.56,2111.16,2124.95,6915164
2019-10-27,2109.29,2134.23,2093.78,2115.7,14095688
2019-10-29,2192.81,2222.57,2172.56,2194.85,14485120
2019-10-30,2251.6,2282.61,2228.26,2252.8,6451008
2019-10-31,2288.01,2303.87,2253.98,2269.65,13912880
2019-11-01,2200.32,2222.25,2181.54,2200.9,8246909
2019-11-04,2207.97,2220.46,2162.25,2193.95,3549818
2019-11-05,2220.84,2228.24,2177.09,2201.85,17929655
2019-11-06,2183.78,2211.46,2167.61,2188.5,6787363
2019-11-07,2185.2,2203.01,2163.56,2185.35,6523025
2019-11-08,2109.27,2165.05,2097.35,2129.95,8174766
2019-11-11,2086.9,2133.54,2070.48,2100.95,11458175
2019-11-13,2177.59,2207.21,2155.17,2178.6,9717708
2019-11-14,2190.34,2228.08,2176.74,2196.8,13152588
2019-11-15,2188.02,2197.16,2151.16,2174.45,5118392
2019-11-18,2129.5,2182.51,2113.97,2152.6,6899106
2019-11-19,2107.82,2142.57,2077.68,2108.8,9436513
2019-11-20,2113.37,2138.08,2078.59,2108.55,25829796
2019-11-21,2133.77,2158.75,2086.65,2118.1,9446826
2019-11-22,2069.11,2103.95,2045.26,2071.7,17204934
2019-11-25,2094.72,2107.37,2045.57,2081.5,10194645
2019-11-26,2053.05,2081.8,2017.25,2046.65,7851901
2019-11-27,2053.08,2073.1,2036.59,2054.3,8839434
2019-11-28,2066.36,2099.24,2060.39,2077.35,9192383
2019-11-29,2050.19,2073.96,2028.96,2053.25,13523216
2019-12-02,2029.45,2041.59,1991.73,2021.05,19883509
2019-12-03,2059.72,2079.18,2031.53,2051.0,11970263
2019-12-04,2089.32,2102.11,2047.51,2078.5,18103837
2019-12-05,2121.31,2153.08,2090.14,2121.3,6173032
2019-12-06,2112.36,2150.95,2103.03,2123.6,8127633
2019-12-09,2048.62,2082.81,2044.35,2060.45,6961770
2019-12-10,2012.32,2045.01,1995.29,2012.85,11702557
2019-12-11,2044.58,2060.12,2014.64,2041.9,8357053
2019-12-12,2029.18,2038.47,2003.77,2020.9,14403504
2019-12-13,2064.81,2096.38,2048.79,2071.25,6278205
2019-12-16,2123.93,2148.98,2099.22,2126.75,10217486
2019-12-17,2153.91,2181.74,2132.31,2164.95,14097733
2019-12-18,2170.09,2198.72,2148.63,2167.75,3560616
2019-12-19,2217.78,2259.45,2201.17,2229.05,28887262
2019-12-20,2206.3,2250.21,2194.69,2222.9,8679892
2019-12-23,2219.85,2271.07,2202.1,2231.7,3633023
2019-12-24,2190.12,2244.84,2180.89,2215.6,10822551
2019-12-26,2196.04,2237.77,2181.49,2201.95,10168623
2019-12-27,2169.9,2218.14,2164.1,2198.5,9598798
2019-12-30,2187.96,2211.81,2151.91,2183.2,16414755
2019-12-31,2155.93,2195.8,2134.17,2161.7,14531338
2020-01-01,2188.34,2195.39,2137.38,2167.6,11606011
2020-01-02,2147.53,2187.89,2133.72,2157.65,12524201
2020-01-03,2197.9,2224.16,2182.03,2200.65,9491587
2020-01-06,2189.06,2218.11,2170.78,2200.45,24296456
2020-01-07,2187.16,2228.2,2182.26,2205.85,4773057
2020-01-08,2265.24,2275.49,2230.68,2255.25,10723214
2020-01-09,2200.49,2244.3,2194.2,2214.35,10330466
2020-01-10,2224.41,2231.47,2183.69,2213.55,15017636
2020-01-13,2210.12,2219.92,2167.32,2190.35,6557819
2020-01-14,2214.94,2233.9,2193.69,2206.9,4181829
2020-01-15,2226.52,2242.19,2208.51,2226.9,10815676
2020-01-16,2240.6,2255.77,2215.52,2238.8,11509817
2020-01-17,2215.97,2240.82,2198.72,2219.1,21060195
2020-01-20,2178.77,2195.08,2152.42,2170.35,5298395
2020-01-21,2153.0,2188.16,2147.47,2171.05,17813061
2020-01-22,2195.87,2223.34,2191.28,2206.9,32664611
2020-01-23,2190.56,2210.45,2173.21,2190.95,8278838
2020-01-24,2183.66,2205.33,2158.25,2183.4,5244154
2020-01-27,2177.07,2184.74,2144.33,2169.25,8158806
2020-01-28,2170.21,2206.15,2162.12,2183.75,10070270
2020-01-29,2157.96,2166.93,2129.85,2154.6,13256381
2020-01-30,2131.71,2150.13,2124.96,2137.85,7440125
2020-01-31,2071.7,2096.74,2053.91,2079.05,21762414
2020-02-03,2097.59,2120.4,2085.13,2102.5,5727727
2020-02-04,2106.27,2125.08,2092.65,2107.75,4191180
2020-02-05,2138.54,2166.52,2130.63,2146.55,17390782
2020-02-06,2127.7,2144.79,2110.42,2128.35,3206803
2020-02-07,2143.36,2151.15,2121.03,2136.55,9029709
2020-02-10,2160.27,2178.81,2144.91,2161.95,47533068
2020-02-11,2159.68,2180.44,2139.53,2153.4,9939963
2020-02-12,2181.36,2189.04,2154.27,2170.75,5709898
2020-02-13,2197.61,2211.21,2170.64,2191.95,9717091
2020-02-14,2184.96,2205.3,2165.24,2184.2,9749194
2020-02-17,2199.84,2228.9,2187.02,2203.25,10836391
2020-02-18,2223.43,2230.58,2193.37,2215.75,13925428
2020-02-19,2197.54,2216.8,2172.87,2196.35,5947848
2020-02-20,2146.66,2178.56,2134.44,2156.8,23251255
2020-02-24,2110.51,2136.36,2098.6,2115.35,11303837
2020-02-25,2160.14,2170.22,2131.07,2156.15,14382067
2020-02-26,2113.68,2147.73,2108.35,2123.6,7304644
2020-02-27,2115.98,2118.96,2090.95,2105.5,19025423
2020-02-28,1987.82,2027.96,1977.51,2000.15,8793905
2020-03-02,2014.7,2030.32,1970.95,2001.3,11488670
2020-03-03,2032.52,2055.62,2016.07,2036.2,6271603
2020-03-04,2091.34,2117.83,2065.51,2083.2,6074619
2020-03-05,2135.21,2142.46,2105.37,2125.05,14107234
2020-03-06,2111.35,2151.71,2080.86,2116.45,8010728
2020-03-09,1972.1,2005.87,1934.02,1972.35,6525212
2020-03-11,1933.95,1979.93,1926.5,1953.7,7249941
2020-03-12,1733.98,1799.14,1726.59,1769.85,14183249
2020-03-13,1792.71,1864.82,1762.41,1806.3,7301400
2020-03-16,1697.44,1724.46,1648.46,1696.4,9428694
2020-03-17,1637.91,1689.64,1625.22,1658.0,10075421
2020-03-18,1618.25,1690.6,1601.17,1654.4,3834007
2020-03-19,1635.78,1680.61,1602.13,1636.35,4792354
2020-03-20,1808.47,1854.66,1733.65,1797.45,11831009
2020-03-23,1684.18,1707.74,1636.42,1669.7,6917610
2020-03-24,1676.32,1749.83,1652.75,1703.15,16961525
2020-03-25,1714.99,1796.26,1699.09,1750.3,16215841
2020-03-26,1821.33,1837.4,1728.59,1790.95,14327337
2020-03-27,1814.06,1882.04,1783.73,1824.5,24840390
2020-03-30,1816.48,1847.24,1705.69,1778.5,9593064
2020-03-31,1853.76,1873.67,1778.52,1826.1,13832571
2020-04-01,1727.83,1762.1,1640.57,1708.75,7466188
2020-04-03,1611.96,1706.59,1582.88,1654.2,34082022
2020-04-07,1827.22,1865.97,1706.23,1775.2,26961284
2020-04-08,1746.0,1792.37,1629.43,1705.45,10059578
2020-04-09,1781.56,1846.22,1693.22,1766.15,12132383
2020-04-13,1742.27,1810.26,1702.38,1759.25,19731846
2020-04-15,1697.86,1772.26,1664.43,1735.15,9290713
2020-04-16,1688.05,1763.65,1669.44,1716.05,7201382
