date,open,high,low,close,volume
2019-07-05,1281.23,1289.6,1269.75,1278.1,11646793
2019-07-08,1244.67,1266.0,1240.84,1252.45,6041527
2019-07-09,1094.5,1168.61,1060.79,1098.95,10919142
2019-07-10,1105.7,1143.1,1030.24,1101.2,7133236
2019-07-11,1080.78,1125.04,1048.6,1097.0,10322586
2019-07-12,1102.54,1160.86,1069.7,1101.2,5221332
2019-07-15,1063.02,1129.26,1048.16,1089.4,6405338
2019-07-16,1086.6,1141.16,1076.51,1114.75,28557081
2019-07-17,1092.85,1135.32,1077.3,1109.9,8080601
2019-07-18,1097.15,1112.48,1046.48,1080.0,17449541
2019-07-19,1101.41,1129.8,1052.99,1091.05,9390062
2019-07-22,1081.26,1114.79,1061.34,1085.55,5480111
2019-07-23,1077.44,1138.67,1066.73,1099.15,5827560
2019-07-24,1065.85,1113.22,1050.0,1087.4,6726831
2019-07-25,1086.75,1108.95,1067.84,1090.45,29237497
2019-07-26,1087.52,1123.97,1077.08,1106.4,8908698
2019-07-29,1093.11,1114.34,1041.12,1078.9,10947574
2019-07-30,1097.42,1116.36,1045.98,1079.2,14062029
2019-07-31,1038.42,1074.41,1028.88,1056.35,12869766
2019-08-01,1058.82,1073.53,1027.34,1057.3,15410974
2019-08-02,1069.21,1098.36,1038.9,1064.7,7689658
2019-08-05,1046.97,1053.63,1002.44,1036.8,5532647
2019-08-06,1050.88,1055.48,1038.45,1046.7,6235818
2019-08-07,1030.68,1042.46,1015.18,1028.45,4649004
2019-08-08,1047.71,1057.53,1033.99,1041.1,7709848
2019-08-09,1063.25,1079.81,1057.93,1067.0,1551953
2019-08-13,1069.08,1073.69,1048.78,1063.85,14366288
2019-08-14,1085.96,1100.35,1068.55,1084.0,13311541
2019-08-16,1078.78,1087.46,1067.76,1075.8,6140159
2019-08-19,1089.89,1098.86,1078.45,1088.95,5023637
2019-08-20,1090.51,1104.28,1084.0,1092.35,21467607
2019-08-21,1073.25,1081.4,1048.86,1065.3,16213234
2019-08-22,1066.88,1071.38,1049.96,1061.75,8792467
2019-08-23,1069.41,1085.2,1061.62,1073.5,7135104
2019-08-26,1098.95,1115.58,1085.15,1102.45,10192016
2019-08-27,1115.65,1141.68,1107.28,1123.7,4865345
2019-08-28,1102.73,1126.16,1093.12,1110.95,11577556
2019-08-29,1096.45,1118.13,1083.78,1101.8,5482313
2019-08-30,1115.18,1119.7,1094.34,1105.1,3025716
2019-09-03,1062.53,1075.18,1043.48,1059.65,6656998
2019-09-04,1036.6,1047.48,1022.15,1037.2,6019735
2019-09-05,1061.8,1066.51,1033.47,1048.65,24681217
2019-09-06,1076.06,1084.62,1052.57,1068.7,23102346
2019-09-09,1081.78,1105.53,1078.76,1088.35,5722597
