date,open,high,low,close,volume
2022-01-03,167.86,168.16,166.9,167.47,47320846
2022-01-04,170.76,172.14,169.58,170.45,36557841
2022-01-05,178.73,179.08,177.44,178.22,32772218
2022-01-06,175.78,176.92,172.2,174.89,51954366
2022-01-07,159.86,160.29,157.97,159.17,42799627
2022-01-10,158.52,160.14,158.26,159.13,57318515
2022-01-11,158.94,160.78,158.33,159.43,38570742
2022-01-12,163.2,165.41,162.08,164.07,46608508
2022-01-13,177.0,177.82,176.78,177.31,133686399
2022-01-14,175.29,176.64,174.0,174.98,64152526
2022-01-17,170.61,171.81,167.19,169.58,35644473
2022-01-18,162.96,163.13,161.91,162.42,82088331
2022-01-19,165.54,166.32,162.21,163.84,92887244
2022-01-20,166.99,167.8,166.29,167.05,63528948
2022-01-21,164.06,164.52,163.36,163.82,36570445
2022-01-24,168.32,170.68,167.39,168.95,75581771
2022-01-25,172.08,172.76,171.59,172.17,39689953
2022-01-26,173.4,174.1,170.66,172.66,85829414
2022-01-27,166.24,168.6,165.91,167.04,45406510
2022-01-28,164.31,164.92,163.63,164.2,44710885
2022-01-31,151.42,152.3,147.95,149.9,61660648
2022-02-01,150.46,153.38,149.74,151.43,87893806
2022-02-02,152.51,152.72,150.82,151.76,128935251
2022-02-03,152.01,154.3,151.73,153.04,50543222
2022-02-04,156.39,156.59,155.53,156.19,42442647
2022-02-07,158.8,160.46,157.77,158.68,36008488
2022-02-08,157.23,159.52,156.64,158.21,27640254
2022-02-09,158.37,159.19,158.13,158.69,33435168
2022-02-10,151.16,152.15,149.23,150.63,54942042
2022-02-11,148.01,148.38,146.59,147.5,76239797
2022-02-14,148.28,148.97,147.19,147.96,34831664
2022-02-15,144.84,145.17,143.07,144.05,68502875
2022-02-16,149.19,149.37,148.59,149.02,35419489
2022-02-17,144.88,146.09,144.73,145.51,37184297
2022-02-18,147.0,147.29,146.48,146.89,32596457
2022-02-21,147.57,148.45,147.1,147.72,85179353
