date,open,high,low,close,volume
2019-07-05,274.1,274.65,269.81,271.85,9741011
2019-07-08,267.82,268.69,264.32,266.9,11556055
2019-07-09,266.67,267.74,263.4,265.5,13191169
2019-07-10,266.2,268.27,265.45,266.95,6875092
2019-07-11,268.45,269.05,266.21,267.75,16998729
2019-07-12,257.23,262.15,255.74,258.95,12972126
2019-07-15,260.35,262.6,258.0,259.9,12908390
2019-07-16,259.05,261.59,256.49,260.0,8942989
2019-07-17,259.88,261.87,257.76,259.6,12141903
2019-07-18,269.95,271.96,265.7,269.1,3425194
2019-07-19,265.18,269.19,262.32,264.7,12199466
2019-07-22,264.57,268.65,261.01,264.8,22907864
2019-07-23,265.84,268.26,261.78,264.5,14776368
2019-07-24,266.16,268.33,262.2,264.2,13938224
2019-07-25,262.06,265.65,259.12,262.25,14717513
2019-07-26,260.5,265.68,259.65,263.6,18306091
2019-07-29,261.07,266.12,258.83,262.4,9051921
2019-07-30,263.42,264.14,259.2,262.3,16365819
2019-07-31,266.75,267.33,263.66,265.3,12570013
2019-08-01,270.47,272.74,266.76,270.4,10327686
2019-08-02,261.26,265.85,259.74,263.65,19646100
2019-08-05,260.83,263.76,260.2,262.0,7090544
2019-08-06,261.0,261.67,256.9,258.9,7226238
2019-08-07,264.7,265.96,259.7,262.55,3077862
2019-08-08,265.31,268.61,262.94,265.75,6284179
2019-08-09,263.88,265.58,261.29,263.5,8024418
2019-08-13,261.11,262.06,256.43,258.5,9752628
2019-08-14,249.22,253.71,248.02,251.05,12516491
2019-08-16,250.06,252.89,245.66,249.2,15536646
2019-08-19,253.09,253.95,248.74,252.1,5144675
2019-08-20,254.46,255.43,251.24,253.3,10563757
2019-08-21,251.5,255.44,249.56,252.4,6116559
2019-08-22,252.94,253.57,249.05,252.05,5142498
2019-08-23,250.49,254.65,249.01,251.4,11759992
2019-08-26,247.32,251.32,245.87,249.1,10521316
2019-08-27,249.46,253.45,248.6,250.1,12797895
2019-08-28,247.23,252.05,246.07,249.25,13362666
2019-08-29,250.2,252.07,245.64,248.8,7857269
2019-08-30,253.68,256.11,252.54,254.4,17283694
2019-09-03,255.45,256.51,251.34,253.65,6317602
2019-09-04,257.9,259.04,253.72,256.05,5899021
2019-09-05,254.52,258.77,253.5,255.6,12202994
2019-09-06,251.33,253.42,249.01,252.0,11133183
2019-09-09,255.83,257.14,252.9,255.6,6670465
2019-09-11,249.42,251.05,246.44,248.15,6594323
2019-09-12,242.15,246.09,241.27,244.55,12091771
2019-09-13,244.9,246.8,243.84,245.35,11332515
2019-09-16,247.46,249.3,244.82,247.1,5950544
2019-09-17,244.45,246.33,241.98,244.15,7250622
2019-09-18,245.65,246.55,242.94,244.3,6341900
2019-09-19,239.65,242.76,239.12,241.5,3464831
